 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-24-00-00-00;0;0;0
2015-03-24-00-15-00;0;0;0
2015-03-24-00-30-00;0;0;0
2015-03-24-00-45-00;0;0;0
2015-03-24-01-00-00;0;0;0
2015-03-24-01-15-00;0;0;0
2015-03-24-01-30-00;0;0;0
2015-03-24-01-45-00;0;0;0
2015-03-24-02-00-00;0;0;0
2015-03-24-02-15-00;0;0;0
2015-03-24-02-30-00;0;0;0
2015-03-24-02-45-00;0;0;0
2015-03-24-03-00-00;0;0;0
2015-03-24-03-15-00;0;0;0
2015-03-24-03-30-00;0;0;0
2015-03-24-03-45-00;0;0;0
2015-03-24-04-00-00;0;0;0
2015-03-24-04-15-00;0;0;0
2015-03-24-04-30-00;0;0;0
2015-03-24-04-45-00;0;0;0
2015-03-24-14-15-00;56;15;41
2015-03-24-14-30-00;114;41;73
2015-03-24-14-45-00;67;21;46
2015-03-24-15-00-00;109;28;81
2015-03-24-15-15-00;64;14;50
2015-03-24-15-30-00;84;17;67
2015-03-24-15-45-00;79;20;59
2015-03-24-16-00-00;94;19;75
2015-03-24-16-15-00;80;13;67
2015-03-24-16-30-00;96;11;85
2015-03-24-16-45-00;105;21;84
2015-03-24-17-00-00;87;12;75
2015-03-24-17-15-00;101;19;82
2015-03-24-17-30-00;115;22;93
2015-03-24-17-45-00;128;17;111
2015-03-24-18-00-00;108;20;88
2015-03-24-18-15-00;109;22;87
2015-03-24-18-30-00;97;15;82
2015-03-24-18-45-00;85;17;68
2015-03-24-19-00-00;81;15;66
2015-03-24-19-15-00;74;18;56
2015-03-24-19-30-00;55;9;46
2015-03-24-19-45-00;64;20;44
2015-03-24-20-00-00;60;19;41
2015-03-24-20-15-00;69;15;54
2015-03-24-20-30-00;36;5;31
2015-03-24-20-45-00;36;6;30
2015-03-24-21-00-00;32;4;28
2015-03-24-21-15-00;30;6;24
2015-03-24-21-30-00;22;1;21
2015-03-24-21-45-00;25;5;20
2015-03-24-22-00-00;27;3;24
2015-03-24-22-15-00;30;7;23
