 ;5.08 BN - Von-Sandt-Ufer ;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bad Godesberg ;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bonn 
2015-05-06-00-00-00;0;0;0
2015-05-06-00-15-00;0;0;0
2015-05-06-00-30-00;0;0;0
2015-05-06-00-45-00;0;0;0
2015-05-06-01-00-00;0;0;0
2015-05-06-01-15-00;0;0;0
2015-05-06-01-30-00;0;0;0
2015-05-06-01-45-00;0;0;0
2015-05-06-02-00-00;0;0;0
2015-05-06-02-15-00;0;0;0
2015-05-06-02-30-00;0;0;0
2015-05-06-02-45-00;0;0;0
2015-05-06-03-00-00;0;0;0
2015-05-06-03-15-00;0;0;0
2015-05-06-03-30-00;0;0;0
2015-05-06-03-45-00;0;0;0
2015-05-06-04-00-00;0;0;0
2015-05-06-04-15-00;0;0;0
2015-05-06-04-30-00;0;0;0
2015-05-06-04-45-00;0;0;0
2015-05-06-05-00-00;0;0;0
2015-05-06-05-15-00;0;0;0
2015-05-06-05-30-00;0;0;0
2015-05-06-05-45-00;0;0;0
2015-05-06-06-00-00;0;0;0
2015-05-06-06-15-00;0;0;0
2015-05-06-06-30-00;0;0;0
2015-05-06-06-45-00;0;0;0
2015-05-06-07-00-00;0;0;0
2015-05-06-07-15-00;0;0;0
2015-05-06-07-30-00;0;0;0
2015-05-06-07-45-00;0;0;0
2015-05-06-08-00-00;0;0;0
2015-05-06-08-15-00;0;0;0
2015-05-06-08-30-00;0;0;0
2015-05-06-08-45-00;0;0;0
2015-05-06-09-00-00;0;0;0
2015-05-06-09-15-00;0;0;0
2015-05-06-09-30-00;0;0;0
2015-05-06-09-45-00;0;0;0
2015-05-06-10-00-00;0;0;0
2015-05-06-10-15-00;0;0;0
2015-05-06-10-30-00;0;0;0
2015-05-06-10-45-00;0;0;0
2015-05-06-11-00-00;0;0;0
2015-05-06-11-15-00;0;0;0
2015-05-06-11-30-00;64;28;36
2015-05-06-11-45-00;31;23;8
2015-05-06-12-00-00;28;15;13
2015-05-06-12-15-00;25;14;11
2015-05-06-12-30-00;23;9;14
2015-05-06-12-45-00;9;6;3
2015-05-06-13-00-00;14;7;7
2015-05-06-13-15-00;3;0;3
2015-05-06-13-30-00;14;6;8
2015-05-06-13-45-00;30;18;12
2015-05-06-14-00-00;20;14;6
2015-05-06-14-15-00;36;16;20
2015-05-06-14-30-00;32;20;12
2015-05-06-14-45-00;27;10;17
2015-05-06-15-00-00;27;19;8
2015-05-06-15-15-00;21;15;6
2015-05-06-15-30-00;37;14;23
2015-05-06-15-45-00;29;9;20
2015-05-06-16-00-00;26;15;11
2015-05-06-16-15-00;32;18;14
2015-05-06-16-30-00;37;13;24
2015-05-06-16-45-00;48;25;23
2015-05-06-17-00-00;32;14;18
2015-05-06-17-15-00;45;28;17
2015-05-06-17-30-00;33;8;25
2015-05-06-17-45-00;46;20;26
2015-05-06-18-00-00;30;13;17
2015-05-06-18-15-00;35;12;23
2015-05-06-18-30-00;40;16;24
2015-05-06-18-45-00;34;13;21
2015-05-06-19-00-00;31;14;17
2015-05-06-19-15-00;27;9;18
2015-05-06-19-30-00;21;10;11
2015-05-06-19-45-00;24;11;13
2015-05-06-20-00-00;16;5;11
2015-05-06-20-15-00;24;7;17
2015-05-06-20-30-00;12;4;8
2015-05-06-20-45-00;7;3;4
2015-05-06-21-00-00;8;2;6
2015-05-06-21-15-00;11;6;5
2015-05-06-21-30-00;6;4;2
2015-05-06-21-45-00;4;0;4
2015-05-06-22-00-00;1;0;1
2015-05-06-22-15-00;1;0;1
2015-05-06-22-30-00;5;4;1
2015-05-06-22-45-00;2;2;0
2015-05-06-23-00-00;0;0;0
2015-05-06-23-15-00;2;1;1
2015-05-06-23-30-00;1;1;0
2015-05-06-23-45-00;0;0;0
2015-05-07-00-00-00;0;0;0
2015-05-07-00-15-00;1;0;1
2015-05-07-00-30-00;0;0;0
2015-05-07-00-45-00;0;0;0
2015-05-07-01-00-00;0;0;0
2015-05-07-01-15-00;0;0;0
2015-05-07-01-30-00;1;1;0
2015-05-07-01-45-00;0;0;0
2015-05-07-02-00-00;0;0;0
2015-05-07-02-15-00;0;0;0
2015-05-07-02-30-00;0;0;0
2015-05-07-02-45-00;0;0;0
2015-05-07-03-00-00;0;0;0
2015-05-07-03-15-00;0;0;0
2015-05-07-03-30-00;0;0;0
2015-05-07-03-45-00;0;0;0
2015-05-07-04-00-00;0;0;0
2015-05-07-04-15-00;0;0;0
2015-05-07-04-30-00;0;0;0
2015-05-07-04-45-00;0;0;0
2015-05-07-05-00-00;0;0;0
2015-05-07-05-15-00;0;0;0
2015-05-07-05-30-00;1;0;1
2015-05-07-05-45-00;4;3;1
2015-05-07-06-00-00;5;3;2
2015-05-07-06-15-00;7;6;1
2015-05-07-06-30-00;12;8;4
2015-05-07-06-45-00;22;12;10
2015-05-07-07-00-00;23;15;8
2015-05-07-07-15-00;18;13;5
2015-05-07-07-30-00;37;27;10
2015-05-07-07-45-00;41;33;8
2015-05-07-08-00-00;71;53;18
2015-05-07-08-15-00;60;47;13
2015-05-07-08-30-00;65;45;20
2015-05-07-08-45-00;38;22;16
2015-05-07-09-00-00;33;21;12
2015-05-07-09-15-00;34;23;11
2015-05-07-09-30-00;22;12;10
2015-05-07-09-45-00;20;15;5
2015-05-07-10-00-00;20;8;12
2015-05-07-10-15-00;20;12;8
2015-05-07-10-30-00;17;12;5
2015-05-07-10-45-00;22;10;12
2015-05-07-11-00-00;21;10;11
2015-05-07-11-15-00;35;24;11
2015-05-07-11-30-00;26;15;11
2015-05-07-11-45-00;18;7;11
2015-05-07-12-00-00;20;13;7
2015-05-07-12-15-00;29;15;14
2015-05-07-12-30-00;28;18;10
2015-05-07-12-45-00;23;10;13
2015-05-07-13-00-00;28;17;11
2015-05-07-13-15-00;22;15;7
2015-05-07-13-30-00;26;17;9
2015-05-07-13-45-00;20;11;9
2015-05-07-14-00-00;13;6;7
2015-05-07-14-15-00;32;18;14
2015-05-07-14-30-00;19;7;12
2015-05-07-14-45-00;18;8;10
2015-05-07-15-00-00;30;19;11
2015-05-07-15-15-00;23;9;14
2015-05-07-15-30-00;43;23;20
2015-05-07-15-45-00;56;29;27
2015-05-07-16-00-00;47;27;20
2015-05-07-16-15-00;59;19;40
2015-05-07-16-30-00;39;10;29
2015-05-07-16-45-00;58;24;34
2015-05-07-17-00-00;63;33;30
2015-05-07-17-15-00;84;37;47
2015-05-07-17-30-00;60;31;29
2015-05-07-17-45-00;33;14;19
2015-05-07-18-00-00;52;19;33
2015-05-07-18-15-00;48;17;31
2015-05-07-18-30-00;49;26;23
