 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2015-06-03-00-00-00;0;0;0
2015-06-03-00-15-00;0;0;0
2015-06-03-00-30-00;0;0;0
2015-06-03-00-45-00;0;0;0
2015-06-03-01-00-00;0;0;0
2015-06-03-01-15-00;0;0;0
2015-06-03-01-30-00;0;0;0
2015-06-03-01-45-00;0;0;0
2015-06-03-02-00-00;0;0;0
2015-06-03-02-15-00;0;0;0
2015-06-03-02-30-00;0;0;0
2015-06-03-02-45-00;0;0;0
2015-06-03-03-00-00;0;0;0
2015-06-03-03-15-00;0;0;0
2015-06-03-03-30-00;0;0;0
2015-06-03-03-45-00;0;0;0
2015-06-03-04-00-00;0;0;0
2015-06-03-04-15-00;0;0;0
2015-06-03-04-30-00;0;0;0
2015-06-03-04-45-00;0;0;0
2015-06-03-05-00-00;0;0;0
2015-06-03-05-15-00;0;0;0
2015-06-03-05-30-00;0;0;0
2015-06-03-05-45-00;0;0;0
2015-06-03-06-00-00;0;0;0
2015-06-03-06-15-00;0;0;0
2015-06-03-06-30-00;0;0;0
2015-06-03-06-45-00;0;0;0
2015-06-03-07-00-00;0;0;0
2015-06-03-07-15-00;0;0;0
2015-06-03-07-30-00;0;0;0
2015-06-03-07-45-00;0;0;0
2015-06-03-08-00-00;0;0;0
2015-06-03-08-15-00;0;0;0
2015-06-03-08-30-00;0;0;0
2015-06-03-08-45-00;0;0;0
2015-06-03-09-00-00;0;0;0
2015-06-03-09-15-00;0;0;0
2015-06-03-09-30-00;0;0;0
2015-06-03-09-45-00;0;0;0
2015-06-03-10-00-00;0;0;0
2015-06-03-10-15-00;0;0;0
2015-06-03-10-30-00;0;0;0
2015-06-03-10-45-00;0;0;0
2015-06-03-11-00-00;0;0;0
2015-06-03-11-15-00;0;0;0
2015-06-03-11-30-00;0;0;0
2015-06-03-11-45-00;0;0;0
2015-06-03-12-00-00;0;0;0
2015-06-03-12-15-00;0;0;0
2015-06-03-12-30-00;0;0;0
2015-06-03-12-45-00;0;0;0
2015-06-03-13-00-00;0;0;0
2015-06-03-13-15-00;0;0;0
2015-06-03-13-30-00;11;10;1
2015-06-03-13-45-00;25;16;9
2015-06-03-14-00-00;27;18;9
2015-06-03-14-15-00;33;15;18
2015-06-03-14-30-00;39;24;15
2015-06-03-14-45-00;41;17;24
2015-06-03-15-00-00;37;17;20
2015-06-03-15-15-00;52;21;31
2015-06-03-15-30-00;58;25;33
2015-06-03-15-45-00;66;33;33
2015-06-03-16-00-00;54;29;25
2015-06-03-16-15-00;57;24;33
2015-06-03-16-30-00;67;31;36
2015-06-03-16-45-00;73;39;34
2015-06-03-17-00-00;64;42;22
2015-06-03-17-15-00;71;41;30
2015-06-03-17-30-00;74;36;38
2015-06-03-17-45-00;70;41;29
2015-06-03-18-00-00;59;30;29
2015-06-03-18-15-00;73;39;34
2015-06-03-18-30-00;70;31;39
2015-06-03-18-45-00;87;40;47
2015-06-03-19-00-00;48;26;22
2015-06-03-19-15-00;59;36;23
2015-06-03-19-30-00;42;21;21
2015-06-03-19-45-00;50;23;27
2015-06-03-20-00-00;32;12;20
2015-06-03-20-15-00;49;26;23
2015-06-03-20-30-00;37;25;12
2015-06-03-20-45-00;20;13;7
2015-06-03-21-00-00;25;7;18
2015-06-03-21-15-00;32;14;18
2015-06-03-21-30-00;32;21;11
2015-06-03-21-45-00;17;4;13
2015-06-03-22-00-00;14;6;8
2015-06-03-22-15-00;18;9;9
2015-06-03-22-30-00;16;4;12
2015-06-03-22-45-00;36;3;33
2015-06-03-23-00-00;18;3;15
2015-06-03-23-15-00;9;3;6
2015-06-03-23-30-00;8;1;7
2015-06-03-23-45-00;7;0;7
2015-06-04-00-00-00;9;2;7
2015-06-04-00-15-00;0;0;0
2015-06-04-00-30-00;9;1;8
2015-06-04-00-45-00;7;1;6
2015-06-04-01-00-00;9;1;8
2015-06-04-01-15-00;3;0;3
2015-06-04-01-30-00;1;0;1
2015-06-04-01-45-00;2;0;2
2015-06-04-02-00-00;2;1;1
2015-06-04-02-15-00;4;2;2
2015-06-04-02-30-00;1;0;1
2015-06-04-02-45-00;3;0;3
2015-06-04-03-00-00;0;0;0
2015-06-04-03-15-00;1;0;1
2015-06-04-03-30-00;2;0;2
2015-06-04-03-45-00;1;0;1
2015-06-04-04-00-00;2;1;1
2015-06-04-04-15-00;3;0;3
2015-06-04-04-30-00;1;0;1
2015-06-04-04-45-00;0;0;0
2015-06-04-05-00-00;1;1;0
2015-06-04-05-15-00;0;0;0
2015-06-04-05-30-00;3;3;0
2015-06-04-05-45-00;1;1;0
2015-06-04-06-00-00;2;1;1
2015-06-04-06-15-00;1;1;0
2015-06-04-06-30-00;2;0;2
2015-06-04-06-45-00;1;0;1
2015-06-04-07-00-00;2;1;1
2015-06-04-07-15-00;2;0;2
2015-06-04-07-30-00;6;3;3
2015-06-04-07-45-00;7;3;4
2015-06-04-08-00-00;9;2;7
2015-06-04-08-15-00;12;5;7
2015-06-04-08-30-00;6;1;5
2015-06-04-08-45-00;10;7;3
2015-06-04-09-00-00;11;10;1
2015-06-04-09-15-00;13;8;5
2015-06-04-09-30-00;13;9;4
2015-06-04-09-45-00;17;9;8
2015-06-04-10-00-00;17;8;9
2015-06-04-10-15-00;19;12;7
2015-06-04-10-30-00;21;9;12
2015-06-04-10-45-00;17;8;9
2015-06-04-11-00-00;18;9;9
2015-06-04-11-15-00;14;7;7
2015-06-04-11-30-00;25;14;11
2015-06-04-11-45-00;21;9;12
2015-06-04-12-00-00;15;8;7
2015-06-04-12-15-00;31;11;20
2015-06-04-12-30-00;13;4;9
2015-06-04-12-45-00;41;21;20
2015-06-04-13-00-00;30;7;23
2015-06-04-13-15-00;27;11;16
2015-06-04-13-30-00;29;8;21
2015-06-04-13-45-00;24;8;16
2015-06-04-14-00-00;24;7;17
