 ;5.13 BN - Wilhelm-Spiritus-Ufer ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden
2016-01-16-00-00-00;0;0;0;0;0;0;0
2016-01-16-00-15-00;0;0;0;0;0;0;0
2016-01-16-00-30-00;0;0;0;0;0;0;0
2016-01-16-00-45-00;1;1;0;0;0;0;0
2016-01-16-01-00-00;0;0;0;0;0;0;0
2016-01-16-01-15-00;1;1;0;0;0;0;0
2016-01-16-01-30-00;2;0;0;0;2;0;0
2016-01-16-01-45-00;1;0;0;0;1;0;0
2016-01-16-02-00-00;0;0;0;0;0;0;0
2016-01-16-02-15-00;2;0;1;0;1;0;0
2016-01-16-02-30-00;0;0;0;0;0;0;0
2016-01-16-02-45-00;0;0;0;0;0;0;0
2016-01-16-03-00-00;0;0;0;0;0;0;0
2016-01-16-03-15-00;0;0;0;0;0;0;0
2016-01-16-03-30-00;0;0;0;0;0;0;0
2016-01-16-03-45-00;0;0;0;0;0;0;0
2016-01-16-04-00-00;0;0;0;0;0;0;0
2016-01-16-04-15-00;1;0;0;0;1;0;0
2016-01-16-04-30-00;0;0;0;0;0;0;0
2016-01-16-04-45-00;0;0;0;0;0;0;0
2016-01-16-05-00-00;0;0;0;0;0;0;0
2016-01-16-05-15-00;5;0;2;0;3;0;0
2016-01-16-05-30-00;0;0;0;0;0;0;0
2016-01-16-05-45-00;0;0;0;0;0;0;0
2016-01-16-06-00-00;1;0;0;0;1;0;0
2016-01-16-06-15-00;0;0;0;0;0;0;0
2016-01-16-06-30-00;2;1;0;1;0;0;0
2016-01-16-06-45-00;0;0;0;0;0;0;0
2016-01-16-07-00-00;2;1;0;0;1;0;0
2016-01-16-07-15-00;0;0;0;0;0;0;0
2016-01-16-07-30-00;1;1;0;0;0;0;0
2016-01-16-07-45-00;4;2;1;0;1;0;0
2016-01-16-08-00-00;2;0;0;1;1;0;0
2016-01-16-08-15-00;2;0;0;1;1;0;0
2016-01-16-08-30-00;1;0;0;0;1;0;0
2016-01-16-08-45-00;7;1;0;0;6;0;0
2016-01-16-09-00-00;5;2;0;0;3;0;0
2016-01-16-09-15-00;2;0;0;0;2;0;0
2016-01-16-09-30-00;5;2;0;0;3;0;0
2016-01-16-09-45-00;6;1;0;0;5;0;0
2016-01-16-10-00-00;4;1;0;0;3;0;0
2016-01-16-10-15-00;3;1;0;1;1;0;0
2016-01-16-10-30-00;9;5;1;1;2;0;0
2016-01-16-10-45-00;5;4;0;0;1;0;0
2016-01-16-11-00-00;6;3;0;1;2;0;0
2016-01-16-11-15-00;10;5;2;1;2;0;0
2016-01-16-11-30-00;13;6;0;1;6;0;0
2016-01-16-11-45-00;5;2;0;0;3;0;0
2016-01-16-12-00-00;10;6;0;1;3;0;0
2016-01-16-12-15-00;5;1;0;0;4;0;0
2016-01-16-12-30-00;16;10;0;1;5;0;0
2016-01-16-12-45-00;12;4;0;0;8;0;0
2016-01-16-13-00-00;15;5;1;0;9;0;0
2016-01-16-13-15-00;12;7;1;0;4;0;0
2016-01-16-13-30-00;11;6;0;1;4;0;0
2016-01-16-13-45-00;12;3;0;1;8;0;0
2016-01-16-14-00-00;4;1;1;0;2;0;0
2016-01-16-14-15-00;8;4;1;0;3;0;0
2016-01-16-14-30-00;10;4;1;1;4;0;0
2016-01-16-14-45-00;7;3;0;0;4;0;0
2016-01-16-15-00-00;7;1;1;0;5;0;0
2016-01-16-15-15-00;8;2;2;0;4;0;0
2016-01-16-15-30-00;3;1;0;1;1;0;0
2016-01-16-15-45-00;4;1;0;0;3;0;0
2016-01-16-16-00-00;12;5;0;3;4;0;0
2016-01-16-16-15-00;9;4;0;1;4;0;0
2016-01-16-16-30-00;9;4;0;0;5;0;0
2016-01-16-16-45-00;6;4;0;0;2;0;0
2016-01-16-17-00-00;11;3;2;1;5;0;0
2016-01-16-17-15-00;6;3;0;0;3;0;0
2016-01-16-17-30-00;5;3;0;0;2;0;0
2016-01-16-17-45-00;2;1;0;0;1;0;0
2016-01-16-18-00-00;9;3;0;1;5;0;0
2016-01-16-18-15-00;9;6;1;1;1;0;0
2016-01-16-18-30-00;5;3;1;0;1;0;0
2016-01-16-18-45-00;4;1;1;0;2;0;0
2016-01-16-19-00-00;2;1;0;0;1;0;0
2016-01-16-19-15-00;2;1;0;0;1;0;0
2016-01-16-19-30-00;1;0;0;0;1;0;0
2016-01-16-19-45-00;0;0;0;0;0;0;0
2016-01-16-20-00-00;0;0;0;0;0;0;0
2016-01-16-20-15-00;0;0;0;0;0;0;0
2016-01-16-20-30-00;3;1;0;1;1;0;0
2016-01-16-20-45-00;2;0;0;0;2;0;0
2016-01-16-21-00-00;1;0;0;0;1;0;0
2016-01-16-21-15-00;0;0;0;0;0;0;0
2016-01-16-21-30-00;1;0;0;0;1;0;0
2016-01-16-21-45-00;1;1;0;0;0;0;0
2016-01-16-22-00-00;0;0;0;0;0;0;0
2016-01-16-22-15-00;0;0;0;0;0;0;0
2016-01-16-22-30-00;1;1;0;0;0;0;0
2016-01-16-22-45-00;1;1;0;0;0;0;0
2016-01-16-23-00-00;3;0;2;0;1;0;0
2016-01-16-23-15-00;1;1;0;0;0;0;0
2016-01-16-23-30-00;1;1;0;0;0;0;0
2016-01-16-23-45-00;2;1;0;0;1;0;0
2016-01-17-00-00-00;0;0;0;0;0;0;0
2016-01-17-00-15-00;1;0;0;1;0;0;0
2016-01-17-00-30-00;0;0;0;0;0;0;0
2016-01-17-00-45-00;0;0;0;0;0;0;0
2016-01-17-01-00-00;0;0;0;0;0;0;0
2016-01-17-01-15-00;0;0;0;0;0;0;0
2016-01-17-01-30-00;0;0;0;0;0;0;0
2016-01-17-01-45-00;0;0;0;0;0;0;0
2016-01-17-02-00-00;2;2;0;0;0;0;0
2016-01-17-02-15-00;2;2;0;0;0;0;0
2016-01-17-02-30-00;1;1;0;0;0;0;0
2016-01-17-02-45-00;0;0;0;0;0;0;0
2016-01-17-03-00-00;4;0;1;0;3;0;0
2016-01-17-03-15-00;0;0;0;0;0;0;0
2016-01-17-03-30-00;1;0;1;0;0;0;0
2016-01-17-03-45-00;0;0;0;0;0;0;0
2016-01-17-04-00-00;0;0;0;0;0;0;0
