 ;5.14 BN - Mc Cloy Weg ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn
2016-01-12-00-00-00;0;0;0;0;0
2016-01-12-00-15-00;0;0;0;0;0
2016-01-12-00-30-00;0;0;0;0;0
2016-01-12-00-45-00;0;0;0;0;0
2016-01-12-01-00-00;0;0;0;0;0
2016-01-12-01-15-00;0;0;0;0;0
2016-01-12-01-30-00;0;0;0;0;0
2016-01-12-01-45-00;0;0;0;0;0
2016-01-12-02-00-00;0;0;0;0;0
2016-01-12-02-15-00;0;0;0;0;0
2016-01-12-02-30-00;0;0;0;0;0
2016-01-12-02-45-00;0;0;0;0;0
2016-01-12-03-00-00;0;0;0;0;0
2016-01-12-03-15-00;0;0;0;0;0
2016-01-12-03-30-00;0;0;0;0;0
2016-01-12-03-45-00;0;0;0;0;0
2016-01-12-04-00-00;0;0;0;0;0
2016-01-12-04-15-00;0;0;0;0;0
2016-01-12-04-30-00;0;0;0;0;0
2016-01-12-04-45-00;0;0;0;0;0
2016-01-12-05-00-00;0;0;0;0;0
2016-01-12-05-15-00;0;0;0;0;0
2016-01-12-05-30-00;0;0;0;0;0
2016-01-12-05-45-00;0;0;0;0;0
2016-01-12-06-00-00;0;0;0;0;0
2016-01-12-06-15-00;0;0;0;0;0
2016-01-12-06-30-00;0;0;0;0;0
2016-01-12-06-45-00;0;0;0;0;0
2016-01-12-07-00-00;0;0;0;0;0
2016-01-12-07-15-00;0;0;0;0;0
2016-01-12-07-30-00;0;0;0;0;0
2016-01-12-07-45-00;0;0;0;0;0
2016-01-12-08-00-00;0;0;0;0;0
2016-01-12-08-15-00;0;0;0;0;0
2016-01-12-08-30-00;0;0;0;0;0
2016-01-12-08-45-00;0;0;0;0;0
2016-01-12-09-00-00;0;0;0;0;0
2016-01-12-09-15-00;0;0;0;0;0
2016-01-12-09-30-00;0;0;0;0;0
2016-01-12-09-45-00;0;0;0;0;0
2016-01-12-10-00-00;0;0;0;0;0
2016-01-12-10-15-00;0;0;0;0;0
2016-01-12-10-30-00;0;0;0;0;0
2016-01-12-10-45-00;14;4;4;3;3
2016-01-12-11-00-00;0;0;0;0;0
2016-01-12-11-15-00;5;0;4;1;0
2016-01-12-11-30-00;2;0;1;0;1
2016-01-12-11-45-00;7;4;0;0;3
2016-01-12-12-00-00;7;5;0;0;2
2016-01-12-12-15-00;8;4;0;1;3
2016-01-12-12-30-00;14;6;5;0;3
2016-01-12-12-45-00;2;0;1;0;1
2016-01-12-13-00-00;7;5;1;0;1
2016-01-12-13-15-00;5;3;0;1;1
2016-01-12-13-30-00;7;2;0;0;5
2016-01-12-13-45-00;11;5;1;0;5
2016-01-12-14-00-00;7;2;1;1;3
2016-01-12-14-15-00;9;4;2;0;3
2016-01-12-14-30-00;7;5;0;0;2
2016-01-12-14-45-00;2;0;1;0;1
2016-01-12-15-00-00;14;8;2;2;2
2016-01-12-15-15-00;6;0;2;0;4
2016-01-12-15-30-00;11;4;2;0;5
2016-01-12-15-45-00;7;3;2;0;2
2016-01-12-16-00-00;8;3;3;0;2
2016-01-12-16-15-00;7;4;1;1;1
2016-01-12-16-30-00;12;4;2;2;4
2016-01-12-16-45-00;10;5;3;0;2
2016-01-12-17-00-00;11;5;1;0;5
2016-01-12-17-15-00;18;10;3;0;5
2016-01-12-17-30-00;7;3;1;0;3
2016-01-12-17-45-00;10;3;1;0;6
2016-01-12-18-00-00;6;3;2;0;1
2016-01-12-18-15-00;10;1;2;0;7
2016-01-12-18-30-00;14;2;6;0;6
2016-01-12-18-45-00;9;3;2;1;3
2016-01-12-19-00-00;5;1;1;0;3
2016-01-12-19-15-00;5;2;0;0;3
2016-01-12-19-30-00;4;0;3;0;1
2016-01-12-19-45-00;4;1;1;0;2
