 ;5.15 BN - Weg auf Damm Neil ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden
2016-01-16-00-00-00;0;0;0;0;0
2016-01-16-00-15-00;0;0;0;0;0
2016-01-16-00-30-00;1;0;0;0;1
2016-01-16-00-45-00;2;0;0;1;1
2016-01-16-01-00-00;1;0;0;0;1
2016-01-16-01-15-00;0;0;0;0;0
2016-01-16-01-30-00;2;1;0;0;1
2016-01-16-01-45-00;0;0;0;0;0
2016-01-16-02-00-00;1;0;0;1;0
2016-01-16-02-15-00;1;0;0;0;1
2016-01-16-02-30-00;1;1;0;0;0
2016-01-16-02-45-00;0;0;0;0;0
2016-01-16-03-00-00;0;0;0;0;0
2016-01-16-03-15-00;0;0;0;0;0
2016-01-16-03-30-00;0;0;0;0;0
2016-01-16-03-45-00;0;0;0;0;0
2016-01-16-04-00-00;0;0;0;0;0
2016-01-16-04-15-00;0;0;0;0;0
2016-01-16-04-30-00;0;0;0;0;0
2016-01-16-04-45-00;0;0;0;0;0
2016-01-16-05-00-00;0;0;0;0;0
2016-01-16-05-15-00;0;0;0;0;0
2016-01-16-05-30-00;0;0;0;0;0
2016-01-16-05-45-00;0;0;0;0;0
2016-01-16-06-00-00;0;0;0;0;0
2016-01-16-06-15-00;0;0;0;0;0
2016-01-16-06-30-00;0;0;0;0;0
2016-01-16-06-45-00;0;0;0;0;0
2016-01-16-07-00-00;0;0;0;0;0
2016-01-16-07-15-00;1;0;0;0;1
2016-01-16-07-30-00;1;0;0;0;1
2016-01-16-07-45-00;1;1;0;0;0
2016-01-16-08-00-00;0;0;0;0;0
2016-01-16-08-15-00;0;0;0;0;0
2016-01-16-08-30-00;1;0;0;0;1
2016-01-16-08-45-00;2;1;1;0;0
2016-01-16-09-00-00;1;1;0;0;0
2016-01-16-09-15-00;5;0;0;0;5
2016-01-16-09-30-00;9;4;1;1;3
2016-01-16-09-45-00;5;1;0;0;4
2016-01-16-10-00-00;4;2;0;1;1
2016-01-16-10-15-00;6;2;0;0;4
2016-01-16-10-30-00;6;3;0;0;3
2016-01-16-10-45-00;7;3;0;1;3
2016-01-16-11-00-00;5;0;0;1;4
2016-01-16-11-15-00;6;1;0;0;5
2016-01-16-11-30-00;8;3;2;1;2
2016-01-16-11-45-00;10;3;0;1;6
2016-01-16-12-00-00;9;3;0;0;6
2016-01-16-12-15-00;6;2;1;0;3
2016-01-16-12-30-00;15;11;0;1;3
2016-01-16-12-45-00;15;10;1;2;2
2016-01-16-13-00-00;12;6;0;0;6
2016-01-16-13-15-00;8;5;1;0;2
2016-01-16-13-30-00;4;1;0;0;3
2016-01-16-13-45-00;8;3;0;0;5
2016-01-16-14-00-00;6;3;1;1;1
2016-01-16-14-15-00;3;1;0;0;2
2016-01-16-14-30-00;5;2;0;2;1
2016-01-16-14-45-00;3;2;0;1;0
2016-01-16-15-00-00;4;1;0;1;2
2016-01-16-15-15-00;6;5;0;0;1
2016-01-16-15-30-00;5;2;1;0;2
2016-01-16-15-45-00;4;3;0;0;1
2016-01-16-16-00-00;4;0;0;0;4
2016-01-16-16-15-00;5;2;0;0;3
2016-01-16-16-30-00;4;2;0;0;2
2016-01-16-16-45-00;7;5;1;0;1
2016-01-16-17-00-00;9;6;0;1;2
2016-01-16-17-15-00;10;3;0;2;5
2016-01-16-17-30-00;3;0;0;0;3
2016-01-16-17-45-00;1;1;0;0;0
2016-01-16-18-00-00;1;0;0;0;1
2016-01-16-18-15-00;6;1;0;0;5
2016-01-16-18-30-00;3;1;0;0;2
2016-01-16-18-45-00;1;0;0;1;0
2016-01-16-19-00-00;2;0;0;1;1
2016-01-16-19-15-00;1;0;0;0;1
2016-01-16-19-30-00;2;0;0;0;2
2016-01-16-19-45-00;0;0;0;0;0
2016-01-16-20-00-00;1;0;0;1;0
2016-01-16-20-15-00;1;0;0;0;1
2016-01-16-20-30-00;1;1;0;0;0
2016-01-16-20-45-00;1;1;0;0;0
2016-01-16-21-00-00;0;0;0;0;0
2016-01-16-21-15-00;2;0;1;0;1
2016-01-16-21-30-00;1;1;0;0;0
2016-01-16-21-45-00;0;0;0;0;0
2016-01-16-22-00-00;1;1;0;0;0
2016-01-16-22-15-00;1;1;0;0;0
2016-01-16-22-30-00;0;0;0;0;0
2016-01-16-22-45-00;1;0;0;0;1
2016-01-16-23-00-00;0;0;0;0;0
2016-01-16-23-15-00;0;0;0;0;0
2016-01-16-23-30-00;1;0;0;0;1
2016-01-16-23-45-00;1;0;0;0;1
2016-01-17-00-00-00;0;0;0;0;0
2016-01-17-00-15-00;0;0;0;0;0
2016-01-17-00-30-00;0;0;0;0;0
2016-01-17-00-45-00;0;0;0;0;0
2016-01-17-01-00-00;0;0;0;0;0
2016-01-17-01-15-00;0;0;0;0;0
2016-01-17-01-30-00;1;1;0;0;0
2016-01-17-01-45-00;1;1;0;0;0
2016-01-17-02-00-00;0;0;0;0;0
2016-01-17-02-15-00;1;1;0;0;0
2016-01-17-02-30-00;1;1;0;0;0
2016-01-17-02-45-00;0;0;0;0;0
2016-01-17-03-00-00;0;0;0;0;0
2016-01-17-03-15-00;0;0;0;0;0
2016-01-17-03-30-00;0;0;0;0;0
2016-01-17-03-45-00;0;0;0;0;0
2016-01-17-04-00-00;0;0;0;0;0
2016-01-17-04-15-00;0;0;0;0;0
2016-01-17-04-30-00;0;0;0;0;0
2016-01-17-04-45-00;0;0;0;0;0
2016-01-17-05-00-00;0;0;0;0;0
2016-01-17-05-15-00;0;0;0;0;0
2016-01-17-05-30-00;0;0;0;0;0
2016-01-17-05-45-00;0;0;0;0;0
2016-01-17-06-00-00;0;0;0;0;0
2016-01-17-06-15-00;0;0;0;0;0
2016-01-17-06-30-00;0;0;0;0;0
2016-01-17-06-45-00;1;1;0;0;0
2016-01-17-07-00-00;0;0;0;0;0
2016-01-17-07-15-00;0;0;0;0;0
2016-01-17-07-30-00;0;0;0;0;0
2016-01-17-07-45-00;0;0;0;0;0
2016-01-17-08-00-00;0;0;0;0;0
2016-01-17-08-15-00;0;0;0;0;0
2016-01-17-08-30-00;1;0;0;0;1
2016-01-17-08-45-00;2;1;0;0;1
2016-01-17-09-00-00;0;0;0;0;0
2016-01-17-09-15-00;4;1;0;1;2
2016-01-17-09-30-00;1;0;0;0;1
2016-01-17-09-45-00;1;1;0;0;0
2016-01-17-10-00-00;2;0;0;1;1
2016-01-17-10-15-00;3;1;0;0;2
2016-01-17-10-30-00;2;0;1;0;1
2016-01-17-10-45-00;8;3;0;0;5
2016-01-17-11-00-00;6;2;0;0;4
2016-01-17-11-15-00;9;3;0;0;6
2016-01-17-11-30-00;8;2;1;0;5
2016-01-17-11-45-00;9;5;0;1;3
2016-01-17-12-00-00;12;2;2;1;7
2016-01-17-12-15-00;8;3;0;0;5
2016-01-17-12-30-00;7;5;0;1;1
2016-01-17-12-45-00;9;6;0;1;2
2016-01-17-13-00-00;13;2;2;2;7
2016-01-17-13-15-00;18;7;0;4;7
2016-01-17-13-30-00;9;4;1;1;3
2016-01-17-13-45-00;11;3;0;2;6
2016-01-17-14-00-00;12;4;0;2;6
2016-01-17-14-15-00;17;7;1;2;7
2016-01-17-14-30-00;13;9;0;2;2
2016-01-17-14-45-00;9;4;1;1;3
2016-01-17-15-00-00;11;4;1;2;4
2016-01-17-15-15-00;9;2;0;1;6
2016-01-17-15-30-00;13;7;0;4;2
2016-01-17-15-45-00;13;7;0;1;5
2016-01-17-16-00-00;17;6;1;2;8
2016-01-17-16-15-00;6;2;1;1;2
2016-01-17-16-30-00;11;4;2;0;5
2016-01-17-16-45-00;12;5;1;0;6
2016-01-17-17-00-00;10;5;1;1;3
2016-01-17-17-15-00;6;2;0;1;3
2016-01-17-17-30-00;6;3;0;0;3
2016-01-17-17-45-00;6;3;1;1;1
2016-01-17-18-00-00;2;1;0;1;0
2016-01-17-18-15-00;1;1;0;0;0
2016-01-17-18-30-00;2;1;0;0;1
2016-01-17-18-45-00;2;0;0;0;2
2016-01-17-19-00-00;1;0;0;0;1
2016-01-17-19-15-00;3;1;0;1;1
2016-01-17-19-30-00;3;1;1;0;1
2016-01-17-19-45-00;1;1;0;0;0
2016-01-17-20-00-00;3;1;0;0;2
2016-01-17-20-15-00;0;0;0;0;0
2016-01-17-20-30-00;1;1;0;0;0
2016-01-17-20-45-00;0;0;0;0;0
2016-01-17-21-00-00;0;0;0;0;0
2016-01-17-21-15-00;0;0;0;0;0
2016-01-17-21-30-00;0;0;0;0;0
2016-01-17-21-45-00;1;0;0;0;1
2016-01-17-22-00-00;0;0;0;0;0
2016-01-17-22-15-00;0;0;0;0;0
2016-01-17-22-30-00;0;0;0;0;0
2016-01-17-22-45-00;0;0;0;0;0
2016-01-17-23-00-00;0;0;0;0;0
2016-01-17-23-15-00;0;0;0;0;0
2016-01-17-23-30-00;0;0;0;0;0
2016-01-17-23-45-00;0;0;0;0;0
2016-01-18-00-00-00;0;0;0;0;0
2016-01-18-00-15-00;1;0;0;0;1
2016-01-18-00-30-00;0;0;0;0;0
2016-01-18-00-45-00;0;0;0;0;0
2016-01-18-01-00-00;0;0;0;0;0
2016-01-18-01-15-00;0;0;0;0;0
