Datum;;5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Beuel;5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Auerberg
01/01/2018;00:00;0;0;0
01/01/2018;00:15;0;0;0
01/01/2018;00:30;0;0;0
01/01/2018;00:45;0;0;0
01/01/2018;01:00;0;0;0
01/01/2018;01:15;0;0;0
01/01/2018;01:30;1;1;0
01/01/2018;01:45;0;0;0
01/01/2018;02:00;5;3;2
01/01/2018;02:15;6;3;3
01/01/2018;02:30;1;1;0
01/01/2018;02:45;2;2;0
01/01/2018;03:00;0;0;0
01/01/2018;03:15;3;3;0
01/01/2018;03:30;2;1;1
01/01/2018;03:45;1;1;0
01/01/2018;04:00;0;0;0
01/01/2018;04:15;0;0;0
01/01/2018;04:30;1;0;1
01/01/2018;04:45;1;0;1
01/01/2018;05:00;1;0;1
01/01/2018;05:15;0;0;0
01/01/2018;05:30;3;0;3
01/01/2018;05:45;0;0;0
01/01/2018;06:00;0;0;0
01/01/2018;06:15;0;0;0
01/01/2018;06:30;1;1;0
01/01/2018;06:45;0;0;0
01/01/2018;07:00;0;0;0
01/01/2018;07:15;0;0;0
01/01/2018;07:30;0;0;0
01/01/2018;07:45;0;0;0
01/01/2018;08:00;0;0;0
01/01/2018;08:15;0;0;0
01/01/2018;08:30;0;0;0
01/01/2018;08:45;2;1;1
01/01/2018;09:00;1;0;1
01/01/2018;09:15;1;0;1
01/01/2018;09:30;1;0;1
01/01/2018;09:45;2;1;1
01/01/2018;10:00;2;0;2
01/01/2018;10:15;4;0;4
01/01/2018;10:30;5;1;4
01/01/2018;10:45;1;0;1
01/01/2018;11:00;5;2;3
01/01/2018;11:15;12;1;11
01/01/2018;11:30;7;2;5
01/01/2018;11:45;4;3;1
01/01/2018;12:00;17;9;8
01/01/2018;12:15;9;5;4
01/01/2018;12:30;5;0;5
01/01/2018;12:45;14;6;8
01/01/2018;13:00;9;1;8
01/01/2018;13:15;11;3;8
01/01/2018;13:30;5;2;3
01/01/2018;13:45;8;5;3
01/01/2018;14:00;16;4;12
01/01/2018;14:15;30;5;25
01/01/2018;14:30;8;4;4
01/01/2018;14:45;9;3;6
01/01/2018;15:00;9;1;8
01/01/2018;15:15;3;3;0
01/01/2018;15:30;3;0;3
01/01/2018;15:45;5;1;4
01/01/2018;16:00;14;9;5
01/01/2018;16:15;3;1;2
01/01/2018;16:30;6;2;4
01/01/2018;16:45;1;1;0
01/01/2018;17:00;4;1;3
01/01/2018;17:15;0;0;0
01/01/2018;17:30;0;0;0
01/01/2018;17:45;0;0;0
01/01/2018;18:00;0;0;0
01/01/2018;18:15;0;0;0
01/01/2018;18:30;0;0;0
01/01/2018;18:45;5;2;3
01/01/2018;19:00;2;0;2
01/01/2018;19:15;0;0;0
01/01/2018;19:30;0;0;0
01/01/2018;19:45;0;0;0
01/01/2018;20:00;0;0;0
01/01/2018;20:15;0;0;0
01/01/2018;20:30;0;0;0
01/01/2018;20:45;0;0;0
01/01/2018;21:00;0;0;0
01/01/2018;21:15;1;0;1
01/01/2018;21:30;2;1;1
01/01/2018;21:45;1;0;1
01/01/2018;22:00;1;0;1
01/01/2018;22:15;1;0;1
01/01/2018;22:30;0;0;0
01/01/2018;22:45;0;0;0
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;0;0;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;0;0;0
02/01/2018;00:15;0;0;0
02/01/2018;00:30;0;0;0
02/01/2018;00:45;0;0;0
02/01/2018;01:00;0;0;0
02/01/2018;01:15;0;0;0
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;0;0;0
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;1;0;1
02/01/2018;04:30;0;0;0
02/01/2018;04:45;0;0;0
02/01/2018;05:00;1;1;0
02/01/2018;05:15;2;1;1
02/01/2018;05:30;0;0;0
02/01/2018;05:45;0;0;0
02/01/2018;06:00;2;1;1
02/01/2018;06:15;2;1;1
02/01/2018;06:30;1;0;1
02/01/2018;06:45;2;1;1
02/01/2018;07:00;2;2;0
02/01/2018;07:15;9;4;5
02/01/2018;07:30;7;3;4
02/01/2018;07:45;4;4;0
02/01/2018;08:00;5;3;2
02/01/2018;08:15;4;2;2
02/01/2018;08:30;5;5;0
02/01/2018;08:45;6;3;3
02/01/2018;09:00;3;1;2
02/01/2018;09:15;3;1;2
02/01/2018;09:30;1;0;1
02/01/2018;09:45;2;0;2
02/01/2018;10:00;4;1;3
02/01/2018;10:15;2;1;1
02/01/2018;10:30;2;1;1
02/01/2018;10:45;1;1;0
02/01/2018;11:00;4;1;3
02/01/2018;11:15;5;3;2
02/01/2018;11:30;0;0;0
02/01/2018;11:45;3;1;2
02/01/2018;12:00;3;1;2
02/01/2018;12:15;5;1;4
02/01/2018;12:30;7;2;5
02/01/2018;12:45;3;1;2
02/01/2018;13:00;2;1;1
02/01/2018;13:15;2;1;1
02/01/2018;13:30;1;0;1
02/01/2018;13:45;5;3;2
02/01/2018;14:00;1;0;1
02/01/2018;14:15;0;0;0
02/01/2018;14:30;5;2;3
02/01/2018;14:45;7;0;7
02/01/2018;15:00;10;2;8
02/01/2018;15:15;2;0;2
02/01/2018;15:30;4;1;3
02/01/2018;15:45;3;0;3
02/01/2018;16:00;8;1;7
02/01/2018;16:15;11;1;10
02/01/2018;16:30;10;1;9
02/01/2018;16:45;9;3;6
02/01/2018;17:00;9;2;7
02/01/2018;17:15;11;1;10
02/01/2018;17:30;7;1;6
02/01/2018;17:45;6;2;4
02/01/2018;18:00;8;2;6
02/01/2018;18:15;8;3;5
02/01/2018;18:30;5;0;5
02/01/2018;18:45;3;2;1
02/01/2018;19:00;4;2;2
02/01/2018;19:15;7;1;6
02/01/2018;19:30;1;0;1
02/01/2018;19:45;1;0;1
02/01/2018;20:00;1;0;1
02/01/2018;20:15;1;0;1
02/01/2018;20:30;3;1;2
02/01/2018;20:45;1;0;1
02/01/2018;21:00;0;0;0
02/01/2018;21:15;1;1;0
02/01/2018;21:30;0;0;0
02/01/2018;21:45;2;2;0
02/01/2018;22:00;0;0;0
02/01/2018;22:15;0;0;0
02/01/2018;22:30;0;0;0
02/01/2018;22:45;0;0;0
02/01/2018;23:00;0;0;0
02/01/2018;23:15;0;0;0
02/01/2018;23:30;1;0;1
02/01/2018;23:45;1;1;0
03/01/2018;00:00;0;0;0
03/01/2018;00:15;2;2;0
03/01/2018;00:30;0;0;0
03/01/2018;00:45;0;0;0
03/01/2018;01:00;0;0;0
03/01/2018;01:15;0;0;0
03/01/2018;01:30;2;2;0
03/01/2018;01:45;0;0;0
03/01/2018;02:00;0;0;0
03/01/2018;02:15;0;0;0
03/01/2018;02:30;0;0;0
03/01/2018;02:45;3;3;0
03/01/2018;03:00;0;0;0
03/01/2018;03:15;0;0;0
03/01/2018;03:30;0;0;0
03/01/2018;03:45;0;0;0
03/01/2018;04:00;0;0;0
