Datum;;5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Gronau;5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Ramersdorf
01/01/2018;00:00;0;0;0
01/01/2018;00:15;0;0;0
01/01/2018;00:30;5;0;5
01/01/2018;00:45;0;0;0
01/01/2018;01:00;1;0;1
01/01/2018;01:15;0;0;0
01/01/2018;01:30;3;3;0
01/01/2018;01:45;1;0;1
01/01/2018;02:00;4;2;2
01/01/2018;02:15;0;0;0
01/01/2018;02:30;3;1;2
01/01/2018;02:45;2;1;1
01/01/2018;03:00;1;1;0
01/01/2018;03:15;1;1;0
01/01/2018;03:30;0;0;0
01/01/2018;03:45;0;0;0
01/01/2018;04:00;2;2;0
01/01/2018;04:15;5;2;3
01/01/2018;04:30;0;0;0
01/01/2018;04:45;0;0;0
01/01/2018;05:00;1;1;0
01/01/2018;05:15;0;0;0
01/01/2018;05:30;1;1;0
01/01/2018;05:45;0;0;0
01/01/2018;06:00;1;0;1
01/01/2018;06:15;0;0;0
01/01/2018;06:30;0;0;0
01/01/2018;06:45;1;0;1
01/01/2018;07:00;0;0;0
01/01/2018;07:15;0;0;0
01/01/2018;07:30;1;1;0
01/01/2018;07:45;0;0;0
01/01/2018;08:00;0;0;0
01/01/2018;08:15;0;0;0
01/01/2018;08:30;2;0;2
01/01/2018;08:45;1;1;0
01/01/2018;09:00;0;0;0
01/01/2018;09:15;0;0;0
01/01/2018;09:30;3;1;2
01/01/2018;09:45;5;3;2
01/01/2018;10:00;3;1;2
01/01/2018;10:15;1;1;0
01/01/2018;10:30;3;2;1
01/01/2018;10:45;5;3;2
01/01/2018;11:00;3;3;0
01/01/2018;11:15;8;6;2
01/01/2018;11:30;4;3;1
01/01/2018;11:45;4;4;0
01/01/2018;12:00;6;5;1
01/01/2018;12:15;12;9;3
01/01/2018;12:30;14;10;4
01/01/2018;12:45;16;14;2
01/01/2018;13:00;10;5;5
01/01/2018;13:15;14;6;8
01/01/2018;13:30;8;6;2
01/01/2018;13:45;24;16;8
01/01/2018;14:00;13;8;5
01/01/2018;14:15;21;15;6
01/01/2018;14:30;12;3;9
01/01/2018;14:45;15;8;7
01/01/2018;15:00;6;3;3
01/01/2018;15:15;12;7;5
01/01/2018;15:30;10;4;6
01/01/2018;15:45;1;1;0
01/01/2018;16:00;9;1;8
01/01/2018;16:15;3;1;2
01/01/2018;16:30;6;3;3
01/01/2018;16:45;1;1;0
01/01/2018;17:00;1;1;0
01/01/2018;17:15;3;1;2
01/01/2018;17:30;4;0;4
01/01/2018;17:45;1;1;0
01/01/2018;18:00;0;0;0
01/01/2018;18:15;2;1;1
01/01/2018;18:30;2;2;0
01/01/2018;18:45;1;0;1
01/01/2018;19:00;1;1;0
01/01/2018;19:15;1;1;0
01/01/2018;19:30;2;1;1
01/01/2018;19:45;1;1;0
01/01/2018;20:00;0;0;0
01/01/2018;20:15;2;1;1
01/01/2018;20:30;0;0;0
01/01/2018;20:45;0;0;0
01/01/2018;21:00;0;0;0
01/01/2018;21:15;1;1;0
01/01/2018;21:30;0;0;0
01/01/2018;21:45;2;1;1
01/01/2018;22:00;0;0;0
01/01/2018;22:15;1;1;0
01/01/2018;22:30;1;1;0
01/01/2018;22:45;0;0;0
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;1;1;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;1;0;1
02/01/2018;00:15;0;0;0
02/01/2018;00:30;0;0;0
02/01/2018;00:45;1;1;0
02/01/2018;01:00;1;1;0
02/01/2018;01:15;0;0;0
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;1;0;1
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;0;0;0
02/01/2018;04:30;0;0;0
02/01/2018;04:45;1;0;1
02/01/2018;05:00;0;0;0
02/01/2018;05:15;1;1;0
02/01/2018;05:30;0;0;0
02/01/2018;05:45;7;2;5
02/01/2018;06:00;2;1;1
02/01/2018;06:15;14;4;10
02/01/2018;06:30;9;3;6
02/01/2018;06:45;5;0;5
02/01/2018;07:00;9;3;6
02/01/2018;07:15;11;6;5
02/01/2018;07:30;16;9;7
02/01/2018;07:45;20;10;10
02/01/2018;08:00;22;6;16
02/01/2018;08:15;25;11;14
02/01/2018;08:30;25;14;11
02/01/2018;08:45;18;10;8
02/01/2018;09:00;10;3;7
02/01/2018;09:15;3;1;2
02/01/2018;09:30;7;2;5
02/01/2018;09:45;8;2;6
02/01/2018;10:00;3;1;2
02/01/2018;10:15;2;2;0
02/01/2018;10:30;5;0;5
02/01/2018;10:45;5;2;3
02/01/2018;11:00;3;1;2
02/01/2018;11:15;11;8;3
02/01/2018;11:30;10;4;6
02/01/2018;11:45;7;4;3
02/01/2018;12:00;8;8;0
02/01/2018;12:15;5;4;1
02/01/2018;12:30;8;6;2
02/01/2018;12:45;8;6;2
02/01/2018;13:00;9;3;6
02/01/2018;13:15;4;2;2
02/01/2018;13:30;8;4;4
02/01/2018;13:45;6;4;2
02/01/2018;14:00;3;1;2
02/01/2018;14:15;8;3;5
02/01/2018;14:30;6;4;2
02/01/2018;14:45;9;3;6
02/01/2018;15:00;9;6;3
02/01/2018;15:15;14;6;8
02/01/2018;15:30;18;10;8
02/01/2018;15:45;11;7;4
02/01/2018;16:00;13;10;3
02/01/2018;16:15;19;12;7
02/01/2018;16:30;18;13;5
02/01/2018;16:45;13;7;6
02/01/2018;17:00;24;15;9
02/01/2018;17:15;15;9;6
02/01/2018;17:30;19;12;7
02/01/2018;17:45;14;11;3
02/01/2018;18:00;15;10;5
02/01/2018;18:15;14;11;3
02/01/2018;18:30;7;5;2
02/01/2018;18:45;8;6;2
02/01/2018;19:00;5;4;1
02/01/2018;19:15;6;5;1
02/01/2018;19:30;7;3;4
02/01/2018;19:45;4;3;1
02/01/2018;20:00;1;1;0
02/01/2018;20:15;2;2;0
02/01/2018;20:30;1;1;0
02/01/2018;20:45;2;2;0
02/01/2018;21:00;1;1;0
02/01/2018;21:15;2;1;1
02/01/2018;21:30;1;0;1
02/01/2018;21:45;1;1;0
02/01/2018;22:00;0;0;0
02/01/2018;22:15;1;1;0
02/01/2018;22:30;0;0;0
02/01/2018;22:45;2;1;1
02/01/2018;23:00;0;0;0
02/01/2018;23:15;0;0;0
02/01/2018;23:30;0;0;0
02/01/2018;23:45;0;0;0
03/01/2018;00:00;0;0;0
03/01/2018;00:15;0;0;0
03/01/2018;00:30;0;0;0
03/01/2018;00:45;1;0;1
03/01/2018;01:00;1;0;1
03/01/2018;01:15;0;0;0
03/01/2018;01:30;0;0;0
03/01/2018;01:45;0;0;0
03/01/2018;02:00;0;0;0
03/01/2018;02:15;0;0;0
03/01/2018;02:30;0;0;0
03/01/2018;02:45;0;0;0
03/01/2018;03:00;0;0;0
03/01/2018;03:15;0;0;0
03/01/2018;03:30;0;0;0
03/01/2018;03:45;0;0;0
03/01/2018;04:00;0;0;0
