Datum;;5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Gronau;5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Ri. Ramersdorf
01/01/2018;00:00;1;0;1
01/01/2018;00:15;0;0;0
01/01/2018;00:30;2;0;2
01/01/2018;00:45;6;6;0
01/01/2018;01:00;0;0;0
01/01/2018;01:15;0;0;0
01/01/2018;01:30;2;1;1
01/01/2018;01:45;0;0;0
01/01/2018;02:00;2;0;2
01/01/2018;02:15;0;0;0
01/01/2018;02:30;2;2;0
01/01/2018;02:45;1;1;0
01/01/2018;03:00;2;0;2
01/01/2018;03:15;1;0;1
01/01/2018;03:30;0;0;0
01/01/2018;03:45;0;0;0
01/01/2018;04:00;0;0;0
01/01/2018;04:15;0;0;0
01/01/2018;04:30;1;0;1
01/01/2018;04:45;1;1;0
01/01/2018;05:00;0;0;0
01/01/2018;05:15;0;0;0
01/01/2018;05:30;1;1;0
01/01/2018;05:45;1;0;1
01/01/2018;06:00;0;0;0
01/01/2018;06:15;3;1;2
01/01/2018;06:30;0;0;0
01/01/2018;06:45;0;0;0
01/01/2018;07:00;0;0;0
01/01/2018;07:15;0;0;0
01/01/2018;07:30;2;2;0
01/01/2018;07:45;1;1;0
01/01/2018;08:00;0;0;0
01/01/2018;08:15;1;1;0
01/01/2018;08:30;0;0;0
01/01/2018;08:45;1;1;0
01/01/2018;09:00;0;0;0
01/01/2018;09:15;3;3;0
01/01/2018;09:30;4;2;2
01/01/2018;09:45;5;3;2
01/01/2018;10:00;3;2;1
01/01/2018;10:15;2;0;2
01/01/2018;10:30;3;1;2
01/01/2018;10:45;4;2;2
01/01/2018;11:00;6;4;2
01/01/2018;11:15;3;2;1
01/01/2018;11:30;8;5;3
01/01/2018;11:45;7;4;3
01/01/2018;12:00;10;5;5
01/01/2018;12:15;18;10;8
01/01/2018;12:30;17;6;11
01/01/2018;12:45;8;4;4
01/01/2018;13:00;20;9;11
01/01/2018;13:15;18;12;6
01/01/2018;13:30;15;5;10
01/01/2018;13:45;18;11;7
01/01/2018;14:00;14;10;4
01/01/2018;14:15;16;11;5
01/01/2018;14:30;6;4;2
01/01/2018;14:45;11;6;5
01/01/2018;15:00;10;6;4
01/01/2018;15:15;7;4;3
01/01/2018;15:30;1;0;1
01/01/2018;15:45;5;3;2
01/01/2018;16:00;7;5;2
01/01/2018;16:15;4;4;0
01/01/2018;16:30;2;2;0
01/01/2018;16:45;1;0;1
01/01/2018;17:00;2;1;1
01/01/2018;17:15;1;1;0
01/01/2018;17:30;5;3;2
01/01/2018;17:45;1;1;0
01/01/2018;18:00;2;1;1
01/01/2018;18:15;0;0;0
01/01/2018;18:30;1;0;1
01/01/2018;18:45;1;0;1
01/01/2018;19:00;4;1;3
01/01/2018;19:15;3;3;0
01/01/2018;19:30;0;0;0
01/01/2018;19:45;1;1;0
01/01/2018;20:00;0;0;0
01/01/2018;20:15;2;0;2
01/01/2018;20:30;0;0;0
01/01/2018;20:45;0;0;0
01/01/2018;21:00;0;0;0
01/01/2018;21:15;0;0;0
01/01/2018;21:30;0;0;0
01/01/2018;21:45;0;0;0
01/01/2018;22:00;0;0;0
01/01/2018;22:15;0;0;0
01/01/2018;22:30;0;0;0
01/01/2018;22:45;0;0;0
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;0;0;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;1;0;1
02/01/2018;00:15;0;0;0
02/01/2018;00:30;0;0;0
02/01/2018;00:45;0;0;0
02/01/2018;01:00;0;0;0
02/01/2018;01:15;0;0;0
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;0;0;0
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;0;0;0
02/01/2018;04:30;0;0;0
02/01/2018;04:45;0;0;0
02/01/2018;05:00;0;0;0
02/01/2018;05:15;1;1;0
02/01/2018;05:30;0;0;0
02/01/2018;05:45;3;2;1
02/01/2018;06:00;2;2;0
02/01/2018;06:15;1;0;1
02/01/2018;06:30;7;7;0
02/01/2018;06:45;4;4;0
02/01/2018;07:00;6;6;0
02/01/2018;07:15;12;8;4
02/01/2018;07:30;6;5;1
02/01/2018;07:45;9;9;0
02/01/2018;08:00;16;11;5
02/01/2018;08:15;18;14;4
02/01/2018;08:30;23;18;5
02/01/2018;08:45;16;10;6
02/01/2018;09:00;26;19;7
02/01/2018;09:15;11;8;3
02/01/2018;09:30;12;9;3
02/01/2018;09:45;9;5;4
02/01/2018;10:00;5;3;2
02/01/2018;10:15;5;2;3
02/01/2018;10:30;4;2;2
02/01/2018;10:45;4;3;1
02/01/2018;11:00;3;1;2
02/01/2018;11:15;6;5;1
02/01/2018;11:30;4;3;1
02/01/2018;11:45;9;2;7
02/01/2018;12:00;8;4;4
02/01/2018;12:15;2;2;0
02/01/2018;12:30;5;5;0
02/01/2018;12:45;6;2;4
