Datum;;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee Radfahrer Ri. Beuel;5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
01/01/2018;00:00;0;0;0
01/01/2018;00:15;0;0;0
01/01/2018;00:30;2;2;0
01/01/2018;00:45;5;1;4
01/01/2018;01:00;1;0;1
01/01/2018;01:15;0;0;0
01/01/2018;01:30;2;2;0
01/01/2018;01:45;0;0;0
01/01/2018;02:00;1;0;1
01/01/2018;02:15;1;1;0
01/01/2018;02:30;4;0;4
01/01/2018;02:45;2;1;1
01/01/2018;03:00;1;0;1
01/01/2018;03:15;0;0;0
01/01/2018;03:30;3;2;1
01/01/2018;03:45;0;0;0
01/01/2018;04:00;2;1;1
01/01/2018;04:15;0;0;0
01/01/2018;04:30;2;2;0
01/01/2018;04:45;0;0;0
01/01/2018;05:00;0;0;0
01/01/2018;05:15;0;0;0
01/01/2018;05:30;0;0;0
01/01/2018;05:45;0;0;0
01/01/2018;06:00;0;0;0
01/01/2018;06:15;2;1;1
01/01/2018;06:30;1;0;1
01/01/2018;06:45;0;0;0
01/01/2018;07:00;1;1;0
01/01/2018;07:15;0;0;0
01/01/2018;07:30;1;0;1
01/01/2018;07:45;0;0;0
01/01/2018;08:00;0;0;0
01/01/2018;08:15;3;3;0
01/01/2018;08:30;0;0;0
01/01/2018;08:45;1;0;1
01/01/2018;09:00;1;0;1
01/01/2018;09:15;3;1;2
01/01/2018;09:30;4;2;2
01/01/2018;09:45;10;6;4
01/01/2018;10:00;1;0;1
01/01/2018;10:15;4;2;2
01/01/2018;10:30;8;3;5
01/01/2018;10:45;4;1;3
01/01/2018;11:00;7;1;6
01/01/2018;11:15;10;6;4
01/01/2018;11:30;19;7;12
01/01/2018;11:45;23;11;12
01/01/2018;12:00;23;11;12
01/01/2018;12:15;34;18;16
01/01/2018;12:30;35;16;19
01/01/2018;12:45;38;19;19
01/01/2018;13:00;43;24;19
01/01/2018;13:15;35;12;23
01/01/2018;13:30;24;14;10
01/01/2018;13:45;34;19;15
01/01/2018;14:00;31;14;17
01/01/2018;14:15;34;26;8
01/01/2018;14:30;21;11;10
01/01/2018;14:45;21;9;12
01/01/2018;15:00;26;16;10
01/01/2018;15:15;21;12;9
01/01/2018;15:30;9;8;1
01/01/2018;15:45;10;10;0
01/01/2018;16:00;23;10;13
01/01/2018;16:15;12;6;6
01/01/2018;16:30;6;3;3
01/01/2018;16:45;4;2;2
01/01/2018;17:00;4;4;0
01/01/2018;17:15;2;2;0
01/01/2018;17:30;4;1;3
01/01/2018;17:45;2;0;2
01/01/2018;18:00;1;1;0
01/01/2018;18:15;0;0;0
01/01/2018;18:30;2;1;1
01/01/2018;18:45;0;0;0
01/01/2018;19:00;5;4;1
01/01/2018;19:15;2;1;1
01/01/2018;19:30;0;0;0
01/01/2018;19:45;1;0;1
01/01/2018;20:00;0;0;0
01/01/2018;20:15;1;1;0
01/01/2018;20:30;2;1;1
01/01/2018;20:45;1;1;0
01/01/2018;21:00;0;0;0
01/01/2018;21:15;0;0;0
01/01/2018;21:30;0;0;0
01/01/2018;21:45;0;0;0
01/01/2018;22:00;0;0;0
01/01/2018;22:15;0;0;0
01/01/2018;22:30;0;0;0
01/01/2018;22:45;0;0;0
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;1;1;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;0;0;0
02/01/2018;00:15;0;0;0
02/01/2018;00:30;0;0;0
02/01/2018;00:45;0;0;0
02/01/2018;01:00;0;0;0
02/01/2018;01:15;0;0;0
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;0;0;0
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;0;0;0
02/01/2018;04:30;0;0;0
02/01/2018;04:45;0;0;0
02/01/2018;05:00;1;1;0
02/01/2018;05:15;1;1;0
02/01/2018;05:30;2;1;1
02/01/2018;05:45;2;0;2
02/01/2018;06:00;4;2;2
02/01/2018;06:15;3;0;3
02/01/2018;06:30;1;0;1
02/01/2018;06:45;11;6;5
02/01/2018;07:00;3;0;3
02/01/2018;07:15;9;2;7
02/01/2018;07:30;11;5;6
02/01/2018;07:45;17;8;9
02/01/2018;08:00;17;5;12
02/01/2018;08:15;19;8;11
02/01/2018;08:30;16;2;14
02/01/2018;08:45;18;5;13
02/01/2018;09:00;20;5;15
02/01/2018;09:15;14;4;10
02/01/2018;09:30;6;1;5
02/01/2018;09:45;9;4;5
02/01/2018;10:00;5;3;2
02/01/2018;10:15;8;3;5
02/01/2018;10:30;6;1;5
02/01/2018;10:45;7;4;3
02/01/2018;11:00;7;4;3
02/01/2018;11:15;15;6;9
02/01/2018;11:30;6;4;2
02/01/2018;11:45;11;6;5
02/01/2018;12:00;10;6;4
02/01/2018;12:15;9;5;4
02/01/2018;12:30;7;2;5
02/01/2018;12:45;13;7;6
02/01/2018;13:00;6;2;4
02/01/2018;13:15;9;5;4
02/01/2018;13:30;15;9;6
02/01/2018;13:45;12;5;7
02/01/2018;14:00;9;5;4
02/01/2018;14:15;16;7;9
02/01/2018;14:30;14;9;5
02/01/2018;14:45;19;8;11
02/01/2018;15:00;17;10;7
02/01/2018;15:15;28;9;19
02/01/2018;15:30;22;12;10
02/01/2018;15:45;15;11;4
02/01/2018;16:00;18;10;8
02/01/2018;16:15;23;10;13
02/01/2018;16:30;18;11;7
02/01/2018;16:45;25;11;14
02/01/2018;17:00;27;21;6
02/01/2018;17:15;18;8;10
02/01/2018;17:30;16;9;7
02/01/2018;17:45;20;10;10
02/01/2018;18:00;12;9;3
02/01/2018;18:15;12;8;4
02/01/2018;18:30;16;11;5
02/01/2018;18:45;9;5;4
02/01/2018;19:00;3;3;0
02/01/2018;19:15;2;1;1
02/01/2018;19:30;4;4;0
02/01/2018;19:45;6;3;3
02/01/2018;20:00;2;2;0
02/01/2018;20:15;2;2;0
02/01/2018;20:30;1;1;0
02/01/2018;20:45;0;0;0
02/01/2018;21:00;3;0;3
02/01/2018;21:15;0;0;0
02/01/2018;21:30;0;0;0
02/01/2018;21:45;0;0;0
02/01/2018;22:00;0;0;0
02/01/2018;22:15;0;0;0
02/01/2018;22:30;2;0;2
02/01/2018;22:45;0;0;0
02/01/2018;23:00;0;0;0
02/01/2018;23:15;0;0;0
02/01/2018;23:30;2;0;2
02/01/2018;23:45;0;0;0
03/01/2018;00:00;0;0;0
03/01/2018;00:15;0;0;0
03/01/2018;00:30;1;0;1
03/01/2018;00:45;1;0;1
03/01/2018;01:00;0;0;0
03/01/2018;01:15;0;0;0
03/01/2018;01:30;0;0;0
03/01/2018;01:45;0;0;0
03/01/2018;02:00;6;4;2
03/01/2018;02:15;0;0;0
03/01/2018;02:30;0;0;0
03/01/2018;02:45;0;0;0
03/01/2018;03:00;0;0;0
03/01/2018;03:15;2;0;2
03/01/2018;03:30;0;0;0
03/01/2018;03:45;0;0;0
03/01/2018;04:00;0;0;0
03/01/2018;04:15;0;0;0
