Datum;;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Ri. Norden
01/01/2018;00:00;0;0;0
01/01/2018;00:15;2;0;2
01/01/2018;00:30;6;5;1
01/01/2018;00:45;7;5;2
01/01/2018;01:00;3;1;2
01/01/2018;01:15;4;0;4
01/01/2018;01:30;0;0;0
01/01/2018;01:45;4;1;3
01/01/2018;02:00;1;0;1
01/01/2018;02:15;1;1;0
01/01/2018;02:30;3;2;1
01/01/2018;02:45;1;1;0
01/01/2018;03:00;4;3;1
01/01/2018;03:15;0;0;0
01/01/2018;03:30;1;1;0
01/01/2018;03:45;1;0;1
01/01/2018;04:00;1;0;1
01/01/2018;04:15;1;0;1
01/01/2018;04:30;3;2;1
01/01/2018;04:45;0;0;0
01/01/2018;05:00;1;0;1
01/01/2018;05:15;0;0;0
01/01/2018;05:30;2;2;0
01/01/2018;05:45;2;0;2
01/01/2018;06:00;1;0;1
01/01/2018;06:15;1;1;0
01/01/2018;06:30;1;1;0
01/01/2018;06:45;0;0;0
01/01/2018;07:00;1;0;1
01/01/2018;07:15;0;0;0
01/01/2018;07:30;0;0;0
01/01/2018;07:45;1;0;1
01/01/2018;08:00;1;0;1
01/01/2018;08:15;2;1;1
01/01/2018;08:30;2;1;1
01/01/2018;08:45;1;0;1
01/01/2018;09:00;2;1;1
01/01/2018;09:15;2;1;1
01/01/2018;09:30;4;0;4
01/01/2018;09:45;4;3;1
01/01/2018;10:00;6;2;4
01/01/2018;10:15;7;5;2
01/01/2018;10:30;5;2;3
01/01/2018;10:45;13;9;4
01/01/2018;11:00;9;5;4
01/01/2018;11:15;16;6;10
01/01/2018;11:30;12;6;6
01/01/2018;11:45;28;16;12
01/01/2018;12:00;27;14;13
01/01/2018;12:15;17;7;10
01/01/2018;12:30;24;8;16
01/01/2018;12:45;31;13;18
01/01/2018;13:00;18;9;9
01/01/2018;13:15;34;13;21
01/01/2018;13:30;35;18;17
01/01/2018;13:45;43;21;22
01/01/2018;14:00;27;18;9
01/01/2018;14:15;37;18;19
01/01/2018;14:30;10;5;5
01/01/2018;14:45;30;20;10
01/01/2018;15:00;20;9;11
01/01/2018;15:15;20;6;14
01/01/2018;15:30;14;6;8
01/01/2018;15:45;13;6;7
01/01/2018;16:00;9;5;4
01/01/2018;16:15;16;12;4
01/01/2018;16:30;14;12;2
01/01/2018;16:45;12;9;3
01/01/2018;17:00;3;3;0
01/01/2018;17:15;5;5;0
01/01/2018;17:30;1;1;0
01/01/2018;17:45;5;4;1
01/01/2018;18:00;2;1;1
01/01/2018;18:15;1;1;0
01/01/2018;18:30;3;2;1
01/01/2018;18:45;4;3;1
01/01/2018;19:00;1;1;0
01/01/2018;19:15;1;0;1
01/01/2018;19:30;0;0;0
01/01/2018;19:45;0;0;0
01/01/2018;20:00;2;0;2
01/01/2018;20:15;0;0;0
01/01/2018;20:30;1;1;0
01/01/2018;20:45;3;1;2
01/01/2018;21:00;0;0;0
01/01/2018;21:15;0;0;0
01/01/2018;21:30;0;0;0
01/01/2018;21:45;0;0;0
01/01/2018;22:00;0;0;0
01/01/2018;22:15;1;1;0
01/01/2018;22:30;1;1;0
01/01/2018;22:45;1;0;1
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;0;0;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;1;1;0
02/01/2018;00:15;2;1;1
02/01/2018;00:30;0;0;0
02/01/2018;00:45;1;0;1
02/01/2018;01:00;0;0;0
02/01/2018;01:15;1;0;1
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;0;0;0
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;0;0;0
02/01/2018;04:30;0;0;0
02/01/2018;04:45;0;0;0
02/01/2018;05:00;0;0;0
02/01/2018;05:15;0;0;0
02/01/2018;05:30;3;0;3
02/01/2018;05:45;2;0;2
02/01/2018;06:00;2;2;0
02/01/2018;06:15;2;1;1
02/01/2018;06:30;7;1;6
02/01/2018;06:45;9;3;6
02/01/2018;07:00;10;6;4
02/01/2018;07:15;9;1;8
02/01/2018;07:30;9;1;8
02/01/2018;07:45;19;6;13
02/01/2018;08:00;19;2;17
02/01/2018;08:15;23;4;19
02/01/2018;08:30;34;6;28
02/01/2018;08:45;40;8;32
02/01/2018;09:00;26;6;20
02/01/2018;09:15;17;3;14
02/01/2018;09:30;16;6;10
02/01/2018;09:45;14;8;6
02/01/2018;10:00;7;2;5
02/01/2018;10:15;7;1;6
02/01/2018;10:30;8;3;5
02/01/2018;10:45;6;4;2
02/01/2018;11:00;13;8;5
02/01/2018;11:15;14;3;11
02/01/2018;11:30;14;10;4
02/01/2018;11:45;16;8;8
02/01/2018;12:00;9;6;3
02/01/2018;12:15;16;7;9
02/01/2018;12:30;19;11;8
02/01/2018;12:45;20;12;8
02/01/2018;13:00;8;6;2
02/01/2018;13:15;17;10;7
02/01/2018;13:30;12;5;7
02/01/2018;13:45;9;4;5
02/01/2018;14:00;12;5;7
02/01/2018;14:15;20;9;11
02/01/2018;14:30;23;8;15
02/01/2018;14:45;25;14;11
02/01/2018;15:00;21;14;7
02/01/2018;15:15;20;14;6
02/01/2018;15:30;16;11;5
02/01/2018;15:45;38;24;14
02/01/2018;16:00;32;17;15
02/01/2018;16:15;29;16;13
02/01/2018;16:30;44;33;11
02/01/2018;16:45;21;17;4
02/01/2018;17:00;34;27;7
02/01/2018;17:15;31;20;11
02/01/2018;17:30;25;16;9
02/01/2018;17:45;28;22;6
02/01/2018;18:00;29;18;11
02/01/2018;18:15;24;19;5
02/01/2018;18:30;14;12;2
02/01/2018;18:45;15;10;5
02/01/2018;19:00;15;12;3
02/01/2018;19:15;6;3;3
02/01/2018;19:30;4;2;2
02/01/2018;19:45;11;8;3
02/01/2018;20:00;5;5;0
02/01/2018;20:15;4;3;1
02/01/2018;20:30;2;2;0
02/01/2018;20:45;0;0;0
02/01/2018;21:00;0;0;0
02/01/2018;21:15;5;3;2
02/01/2018;21:30;4;2;2
02/01/2018;21:45;1;1;0
02/01/2018;22:00;1;1;0
02/01/2018;22:15;3;1;2
02/01/2018;22:30;3;1;2
02/01/2018;22:45;0;0;0
02/01/2018;23:00;0;0;0
02/01/2018;23:15;0;0;0
02/01/2018;23:30;0;0;0
02/01/2018;23:45;3;3;0
03/01/2018;00:00;0;0;0
03/01/2018;00:15;1;0;1
03/01/2018;00:30;1;0;1
03/01/2018;00:45;1;0;1
03/01/2018;01:00;2;2;0
03/01/2018;01:15;1;0;1
03/01/2018;01:30;1;1;0
03/01/2018;01:45;0;0;0
03/01/2018;02:00;0;0;0
03/01/2018;02:15;2;2;0
03/01/2018;02:30;0;0;0
03/01/2018;02:45;0;0;0
03/01/2018;03:00;0;0;0
03/01/2018;03:15;0;0;0
03/01/2018;03:30;1;1;0
03/01/2018;03:45;2;2;0
03/01/2018;04:00;0;0;0
03/01/2018;04:15;0;0;0
03/01/2018;04:30;0;0;0
