Datum;;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil Ri. Norden;5.15 BN - Weg auf Damm Neil Ri. Süden
01/01/2018;00:00;0;0;0
01/01/2018;00:15;0;0;0
01/01/2018;00:30;0;0;0
01/01/2018;00:45;1;1;0
01/01/2018;01:00;0;0;0
01/01/2018;01:15;1;1;0
01/01/2018;01:30;0;0;0
01/01/2018;01:45;3;0;3
01/01/2018;02:00;0;0;0
01/01/2018;02:15;2;1;1
01/01/2018;02:30;0;0;0
01/01/2018;02:45;2;2;0
01/01/2018;03:00;0;0;0
01/01/2018;03:15;0;0;0
01/01/2018;03:30;0;0;0
01/01/2018;03:45;0;0;0
01/01/2018;04:00;0;0;0
01/01/2018;04:15;0;0;0
01/01/2018;04:30;0;0;0
01/01/2018;04:45;2;2;0
01/01/2018;05:00;0;0;0
01/01/2018;05:15;0;0;0
01/01/2018;05:30;2;0;2
01/01/2018;05:45;0;0;0
01/01/2018;06:00;0;0;0
01/01/2018;06:15;0;0;0
01/01/2018;06:30;1;1;0
01/01/2018;06:45;0;0;0
01/01/2018;07:00;1;1;0
01/01/2018;07:15;0;0;0
01/01/2018;07:30;0;0;0
01/01/2018;07:45;0;0;0
01/01/2018;08:00;0;0;0
01/01/2018;08:15;0;0;0
01/01/2018;08:30;1;1;0
01/01/2018;08:45;0;0;0
01/01/2018;09:00;1;1;0
01/01/2018;09:15;0;0;0
01/01/2018;09:30;5;2;3
01/01/2018;09:45;4;2;2
01/01/2018;10:00;4;1;3
01/01/2018;10:15;6;3;3
01/01/2018;10:30;1;0;1
01/01/2018;10:45;5;4;1
01/01/2018;11:00;4;2;2
01/01/2018;11:15;7;2;5
01/01/2018;11:30;6;3;3
01/01/2018;11:45;19;10;9
01/01/2018;12:00;20;10;10
01/01/2018;12:15;25;10;15
01/01/2018;12:30;35;14;21
01/01/2018;12:45;17;9;8
01/01/2018;13:00;38;17;21
01/01/2018;13:15;38;20;18
01/01/2018;13:30;21;9;12
01/01/2018;13:45;36;20;16
01/01/2018;14:00;28;17;11
01/01/2018;14:15;33;18;15
01/01/2018;14:30;18;12;6
01/01/2018;14:45;25;11;14
01/01/2018;15:00;24;18;6
01/01/2018;15:15;15;8;7
01/01/2018;15:30;12;11;1
01/01/2018;15:45;14;8;6
01/01/2018;16:00;13;2;11
01/01/2018;16:15;7;6;1
01/01/2018;16:30;12;7;5
01/01/2018;16:45;8;2;6
01/01/2018;17:00;9;8;1
01/01/2018;17:15;7;5;2
01/01/2018;17:30;0;0;0
01/01/2018;17:45;1;1;0
01/01/2018;18:00;1;1;0
01/01/2018;18:15;3;3;0
01/01/2018;18:30;4;2;2
01/01/2018;18:45;1;0;1
01/01/2018;19:00;5;4;1
01/01/2018;19:15;0;0;0
01/01/2018;19:30;1;1;0
01/01/2018;19:45;0;0;0
01/01/2018;20:00;0;0;0
01/01/2018;20:15;1;1;0
01/01/2018;20:30;0;0;0
01/01/2018;20:45;3;0;3
01/01/2018;21:00;0;0;0
01/01/2018;21:15;2;2;0
01/01/2018;21:30;0;0;0
01/01/2018;21:45;0;0;0
01/01/2018;22:00;0;0;0
01/01/2018;22:15;0;0;0
01/01/2018;22:30;0;0;0
01/01/2018;22:45;0;0;0
01/01/2018;23:00;0;0;0
01/01/2018;23:15;0;0;0
01/01/2018;23:30;0;0;0
01/01/2018;23:45;0;0;0
02/01/2018;00:00;0;0;0
02/01/2018;00:15;0;0;0
02/01/2018;00:30;0;0;0
02/01/2018;00:45;0;0;0
02/01/2018;01:00;0;0;0
02/01/2018;01:15;0;0;0
02/01/2018;01:30;0;0;0
02/01/2018;01:45;0;0;0
02/01/2018;02:00;0;0;0
02/01/2018;02:15;0;0;0
02/01/2018;02:30;0;0;0
02/01/2018;02:45;0;0;0
02/01/2018;03:00;0;0;0
02/01/2018;03:15;0;0;0
02/01/2018;03:30;0;0;0
02/01/2018;03:45;0;0;0
02/01/2018;04:00;0;0;0
02/01/2018;04:15;0;0;0
02/01/2018;04:30;0;0;0
02/01/2018;04:45;0;0;0
02/01/2018;05:00;0;0;0
02/01/2018;05:15;2;2;0
02/01/2018;05:30;0;0;0
02/01/2018;05:45;1;0;1
02/01/2018;06:00;1;0;1
02/01/2018;06:15;0;0;0
02/01/2018;06:30;3;0;3
02/01/2018;06:45;7;2;5
02/01/2018;07:00;4;2;2
02/01/2018;07:15;8;3;5
02/01/2018;07:30;5;0;5
02/01/2018;07:45;12;8;4
02/01/2018;08:00;8;4;4
02/01/2018;08:15;9;5;4
02/01/2018;08:30;10;4;6
02/01/2018;08:45;11;4;7
02/01/2018;09:00;16;8;8
02/01/2018;09:15;8;4;4
02/01/2018;09:30;7;2;5
02/01/2018;09:45;7;6;1
02/01/2018;10:00;5;4;1
02/01/2018;10:15;6;2;4
02/01/2018;10:30;3;1;2
02/01/2018;10:45;3;1;2
02/01/2018;11:00;11;6;5
02/01/2018;11:15;7;5;2
02/01/2018;11:30;11;9;2
02/01/2018;11:45;12;8;4
02/01/2018;12:00;9;5;4
02/01/2018;12:15;7;3;4
02/01/2018;12:30;4;2;2
02/01/2018;12:45;11;5;6
02/01/2018;13:00;13;9;4
02/01/2018;13:15;12;7;5
02/01/2018;13:30;13;7;6
02/01/2018;13:45;9;5;4
02/01/2018;14:00;9;5;4
02/01/2018;14:15;11;5;6
02/01/2018;14:30;19;8;11
02/01/2018;14:45;10;6;4
02/01/2018;15:00;21;11;10
02/01/2018;15:15;16;5;11
02/01/2018;15:30;19;9;10
02/01/2018;15:45;19;13;6
02/01/2018;16:00;14;9;5
02/01/2018;16:15;19;10;9
02/01/2018;16:30;14;6;8
02/01/2018;16:45;28;19;9
02/01/2018;17:00;18;13;5
02/01/2018;17:15;20;11;9
02/01/2018;17:30;19;9;10
02/01/2018;17:45;14;4;10
02/01/2018;18:00;9;5;4
02/01/2018;18:15;15;8;7
02/01/2018;18:30;13;4;9
02/01/2018;18:45;10;4;6
02/01/2018;19:00;6;3;3
02/01/2018;19:15;3;1;2
02/01/2018;19:30;5;3;2
02/01/2018;19:45;3;3;0
02/01/2018;20:00;5;3;2
02/01/2018;20:15;2;2;0
02/01/2018;20:30;2;2;0
02/01/2018;20:45;3;2;1
02/01/2018;21:00;3;0;3
02/01/2018;21:15;3;2;1
02/01/2018;21:30;0;0;0
02/01/2018;21:45;0;0;0
02/01/2018;22:00;1;0;1
02/01/2018;22:15;2;0;2
02/01/2018;22:30;0;0;0
02/01/2018;22:45;0;0;0
02/01/2018;23:00;0;0;0
02/01/2018;23:15;2;1;1
02/01/2018;23:30;2;1;1
02/01/2018;23:45;2;1;1
03/01/2018;00:00;0;0;0
03/01/2018;00:15;0;0;0
03/01/2018;00:30;2;0;2
03/01/2018;00:45;0;0;0
03/01/2018;01:00;0;0;0
03/01/2018;01:15;0;0;0
03/01/2018;01:30;0;0;0
03/01/2018;01:45;2;0;2
03/01/2018;02:00;2;2;0
03/01/2018;02:15;0;0;0
03/01/2018;02:30;0;0;0
03/01/2018;02:45;0;0;0
03/01/2018;03:00;0;0;0
03/01/2018;03:15;2;0;2
03/01/2018;03:30;0;0;0
03/01/2018;03:45;0;0;0
03/01/2018;04:00;0;0;0
03/01/2018;04:15;0;0;0
