Zähler;Breitengrad;Längengrad;Installationsdatum;Nutzungsart
5.09 BN - Rhenusallee;5.072.213;7.134.297;15.05.2015;Radfahrer
5.04 BN - Nordbrücke (Nordseite);5.075.769.827.163.260;7.101.340.951.428.840;10.04.2015;Radfahrer
5.05 BN - Südbrücke (Südseite);5.071.546.283.304.070;7.142.160.722.735.420;18.04.2015;Radfahrer
5.06 BN - Südbrücke (Nordseite);50.719.435.998.458.900;7.144.403.347.868.700;17.04.2015;Radfahrer
5.07 BN - Estermannufer;507.680.717.984.213;7.068.537.905.249;20.04.2015;Radfahrer
5.10 BN - Bröhltalweg;50.742.508;7.113.626;21.04.2015;Radfahrer
5.11 BN - Brühler Straße;50.740.383;7.069.422;15.05.2015;Radfahrer
5.12 BN - Straßburger Weg;507.171.927;71.155.871;03.06.2015;Radfahrer
5.08 BN - Von-Sandt-Ufer;50.700.893;7.166.909;06.05.2015;Radfahrer
5.03 BN - Nordbrücke (Südseite);5.075.490.457.745.970;70.967.883.292.648.300;09.04.2015;Radfahrer
5.01 BN - Kennedybrücke (Nordseite);5.073.871.331.747.280;7.113.214.410.281.800;25.03.2015;Radfahrer
5.02 BN - Kennedybrücke (Südseite) Barometer;507.376.321.974.817;710.662.675.446.168;24.03.2015;Radfahrer
5.14 BN - Mc Cloy Weg;506.709.115;71.880.155;12.01.2016;Radfahrer
5.15 BN - Weg auf Damm Neil;5.073.356;711.554;16.01.2016;Radfahrer
5.13 BN - Wilhelm-Spiritus-Ufer;507.269.498;71.132.844;16.01.2016;Radfahrer
Kennedybrücke;5.073.819.495.271.130;711.028.544.346.431;24.03.2015;Radfahrer
Südbrücke;50.717.636.629.150.800;7.143.513.523.716.780;18.04.2015;Radfahrer
Nordbrücke;50.756.392.311.004.800;70.994.929.718.528.100;10.04.2015;Radfahrer
