,,time,Unnamed: 0,time.4,time.3,time.2,time.1,5.03 BN – Nordbrücke (Südseite),5.04 BN – Nordbrücke (Nordseite),5.05 BN - Südbrücke (Südseite),5.06 BN – Südbrücke (Nordseite),5.07 BN - Estermannufer,5.10 BN – Bröhltalweg,5.11 BN - Brühler Straße,5.08 BN - Von-Sandt-Ufer,5.09 BN - Rhenusallee,5.01 BN – Kennedybrücke (Nordseite),5.02 BN - Kennedybrücke (Südseite) Barometer,Kennedybrücke,5.14 BN - Mc Cloy Weg,5.15 BN - Weg auf Damm Neil,5.13 BN - Wilhelm-Spiritus-Ufer,Südbrücke,Nordbrücke
0,0,0,0,0,0,0,01.01.2019 00:00,2,0,2,1,0,0,1,0,0,2,3,5,2,1,4,3,2
1,1,1,1,1,1,1,01.01.2019 00:15,0,3,7,0,1,0,0,1,2,10,3,13,0,1,2,7,3
2,2,2,2,2,2,2,01.01.2019 00:30,1,0,2,1,0,0,3,4,2,4,12,16,1,0,4,3,1
3,3,3,3,3,3,3,01.01.2019 00:45,1,6,4,1,0,0,4,1,0,5,9,14,0,0,7,5,7
4,4,4,4,4,4,4,01.01.2019 01:00,0,0,0,0,0,0,0,2,1,11,16,27,0,1,0,0,0
5,5,5,5,5,5,5,01.01.2019 01:15,0,0,5,9,0,0,2,0,5,15,15,30,0,3,3,14,0
6,6,6,6,6,6,6,01.01.2019 01:30,0,0,3,1,5,0,1,1,1,15,12,27,0,0,2,4,0
7,7,7,7,7,7,7,01.01.2019 01:45,5,0,2,1,0,0,2,0,0,19,14,33,0,1,0,3,5
8,8,8,8,8,8,8,01.01.2019 02:00,2,0,1,2,0,0,4,2,0,20,16,36,1,1,4,3,2
9,9,9,9,9,9,9,01.01.2019 02:15,5,0,0,4,0,0,6,1,6,16,18,34,0,5,3,4,5
10,10,10,10,10,10,10,01.01.2019 02:30,3,2,3,3,0,0,0,0,1,10,11,21,1,5,3,6,5
11,11,11,11,11,11,11,01.01.2019 02:45,1,0,3,1,0,0,2,1,2,19,5,24,0,1,1,4,1
12,12,12,12,12,12,12,01.01.2019 03:00,0,0,3,0,0,0,3,0,2,8,22,30,0,4,2,3,0
13,13,13,13,13,13,13,01.01.2019 03:15,0,0,0,0,0,0,3,1,3,7,10,17,0,1,0,0,0
14,14,14,14,14,14,14,01.01.2019 03:30,1,1,1,1,0,0,3,0,2,15,17,32,0,2,2,2,2
15,15,15,15,15,15,15,01.01.2019 03:45,0,0,1,1,0,0,3,1,1,11,5,16,0,1,0,2,0
16,16,16,16,16,16,16,01.01.2019 04:00,0,0,2,1,0,0,0,0,1,5,13,18,1,0,7,3,0
17,17,17,17,17,17,17,01.01.2019 04:15,0,0,1,0,0,0,1,3,1,8,11,19,1,2,1,1,0
18,18,18,18,18,18,18,01.01.2019 04:30,0,0,2,0,0,0,0,1,0,4,9,13,0,1,4,2,0
19,19,19,19,19,19,19,01.01.2019 04:45,0,0,0,1,0,0,2,0,1,4,8,12,0,0,1,1,0
20,20,20,20,20,20,20,01.01.2019 05:00,0,0,3,0,0,0,2,0,0,3,2,5,0,0,1,3,0
21,21,21,21,21,21,21,01.01.2019 05:15,0,0,0,0,0,1,1,0,0,4,6,10,1,0,0,0,0
22,22,22,22,22,22,22,01.01.2019 05:30,0,1,0,0,0,0,0,1,0,1,4,5,0,0,1,0,1
23,23,23,23,23,23,23,01.01.2019 05:45,1,0,1,0,1,0,0,0,1,2,4,6,0,0,1,1,1
24,24,24,24,24,24,24,01.01.2019 06:00,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0
25,25,25,25,25,25,25,01.01.2019 06:15,1,1,0,0,0,0,0,0,1,2,2,4,0,1,0,0,2
