Zählstellenname;5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.12 BN - Straßburger Weg;5.12 BN - Straßburger Weg;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;Kennedybrücke;Kennedybrücke;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;Südbrücke;Südbrücke;Nordbrücke;Nordbrücke
time;5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Beuel;5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Auerberg;5.03 BN - Nordbrücke (Südseite) [Bike IN];5.03 BN - Nordbrücke (Südseite) [Bike OUT];5.04 BN - Nordbrücke (Nordseite) Radfahrer Ri. Beuel;5.04 BN - Nordbrücke (Nordseite) Radfahrer Ri. Auerberg;5.04 BN - Nordbrücke (Nordseite) [Bike IN];5.04 BN - Nordbrücke (Nordseite) [Bike OUT];5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Gronau;5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Ramersdorf;5.05 BN - Südbrücke (Südseite) [Bike IN];5.05 BN - Südbrücke (Südseite) [Bike OUT];5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Gronau;5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Ri. Ramersdorf;5.06 BN - Südbrücke (Nordseite) [Bike IN];5.06 BN - Südbrücke (Nordseite) [Bike OUT];5.07 BN - Estermannufer Radfahrer Ri. Bonn;5.07 BN - Estermannufer Radfahrer Ri. Köln;5.07 BN - Estermannufer [Bike IN];5.07 BN - Estermannufer [Bike OUT];5.10 BN - Bröhltalweg Radfahrer Ri. Villich;5.10 BN - Bröhltalweg Radfahrer Ri. Beuel;5.10 BN - Bröhltalweg [Bike IN];5.10 BN - Bröhltalweg [Bike OUT];5.11 BN - Brühler Straße Radfahrer Ri. Süden;5.11 BN - Brühler Straße Radfahrer Ri. Norden;5.11 BN - Brühler Straße [Bike IN];5.11 BN - Brühler Straße [Bike OUT];5.12 BN - Straßenburger Weg Radfahrer Ri. Süden;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bad Godesberg;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bonn;5.08 BN - Von-Sandt-Ufer [Bike IN];5.08 BN - Von-Sandt-Ufer [Bike IN];5.08 BN - Von-Sandt-Ufer [Bike OUT];5.08 BN - Von-Sandt-Ufer [Bike OUT];5.09 BN - Rhenusallee Radfahrer Ri. Beuel;5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel;5.09 BN - Rhenusallee [Bike IN];5.09 BN - Rhenusallee [Bike IN];5.09 BN - Rhenusallee [Bike OUT];5.09 BN - Rhenusallee [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) Radfahrer Ri. Innenstadt;5.01 BN - Kennedybrücke (Nordseite) Radfahrer Ri. Beuel;5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.02 BN - Kennedybrücke (Südseite) IN;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel;5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];Kennedybrücke Radfahrer Ri. Innenstadt;Kennedybrücke Radfahrer Ri. Beuel;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden;Südbrücke Radfahrer Ri. Oberkassel;Südbrücke Radfahrer Ri. Rheinaue;Nordbrücke Radfahrer Ri. Beuel;Nordbrücke Radfahrer Ri. Auerberg
2022-01-01 00:00;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;2;5;1;0;0
2022-01-01 00:15;0;0;0;2;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;;;;;0;0;1;0;;;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;2;0;1;0;2;0;0;0;1;3;4;0;0;0;0;0;0;0;0;2;0;0;2;1;3;0;3
2022-01-01 00:30;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;;;;;0;4;1;2;;;1;2;1;0;1;1;0;0;1;0;1;0;0;0;0;2;0;0;0;2;1;0;1;0;0;0;1;1;4;4;0;0;0;0;0;1;0;0;1;1;0;1;3;1;0;0
2022-01-01 00:45;0;0;0;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;2;2;0;1;0;0;1;2;1;0;0;0;0;0;5;0;0;1;4;0;0;0;0;0;1;4;2;5;12;1;1;0;1;0;0;0;1;2;0;0;1;1;2;0;2
2022-01-01 01:00;1;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;;;;;0;0;1;0;;;0;0;1;1;0;0;0;1;0;2;0;0;1;0;0;5;0;0;0;0;0;0;0;2;3;0;11;4;11;15;0;0;1;0;2;0;1;1;0;0;1;0;0;3;1;2
2022-01-01 01:15;1;0;0;0;0;1;0;0;0;0;2;1;2;0;0;0;1;0;1;0;;;;;1;2;1;1;;;1;3;1;0;1;1;0;1;0;1;0;0;0;0;1;8;0;0;0;4;0;0;0;2;5;1;8;4;16;17;0;0;0;0;5;0;1;0;1;0;0;1;2;3;1;1
2022-01-01 01:30;0;0;0;1;0;0;0;0;5;0;0;1;3;0;0;0;0;0;0;0;;;;;1;3;0;1;;;2;1;3;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;1;1;1;3;0;2;1;10;4;0;1;0;0;3;1;0;1;0;0;1;0;5;4;0;1
2022-01-01 01:45;0;0;0;2;0;0;0;1;2;0;0;1;0;1;0;1;0;0;0;0;;;;;0;1;0;1;;;0;1;0;0;2;0;0;1;0;1;2;1;0;0;0;2;0;0;2;0;0;1;1;0;5;0;10;0;8;13;0;0;0;0;0;1;0;1;0;1;0;2;4;1;0;3
2022-01-01 02:00;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;;;;;0;0;0;0;;;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;1;0;1;1;11;4;5;18;0;0;0;0;1;0;0;2;0;0;1;0;2;2;0;1
