Zeitraum;1. Januar 2023 -> 31. Dezember 2023;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Time;5.01 BN - Kennedybrücke (Nordseite);5.02 BN - Kennedybrücke (Südseite) Barometer;5.03 BN - Nordbrücke (Südseite);5.04 BN - Nordbrücke (Nordseite);5.05 BN - Südbrücke (Südseite);5.06 BN - Südbrücke (Nordseite);5.07 BN - Estermannufer;5.08 BN - Von-Sandt-Ufer;5.09 BN - Rhenusallee;5.10 BN - Bröhltalweg;5.11 BN - Brühler Straße;5.13 BN - Wilhelm-Spiritus-Ufer;5.14 BN - Mc Cloy Weg;5.15 BN - Weg auf Damm Neil;Kennedybrücke;Nordbrücke;Südbrücke
01.01.2023 00:00;5;1;0;0;5;0;0;2;0;0;0;1;0;0;6;0;5
01.01.2023 00:15;2;6;0;1;3;3;0;0;0;0;0;0;0;5;8;1;6
01.01.2023 00:30;12;5;1;0;3;1;0;0;0;0;0;7;0;0;17;1;4
01.01.2023 00:45;7;13;1;0;1;6;0;1;0;1;3;4;0;3;20;1;7
01.01.2023 01:00;5;13;6;2;6;2;0;1;0;4;5;10;1;4;18;8;8
01.01.2023 01:15;12;29;0;0;1;3;1;2;0;0;0;4;0;3;41;0;4
01.01.2023 01:30;9;19;1;0;4;5;0;0;0;2;3;8;0;3;28;1;9
01.01.2023 01:45;20;27;4;0;4;0;0;2;0;4;5;4;1;2;47;4;4
01.01.2023 02:00;24;21;0;2;0;4;0;0;0;2;1;4;3;4;45;2;4
01.01.2023 02:15;7;16;3;5;1;5;2;1;0;5;0;3;1;2;23;8;6
01.01.2023 02:30;13;21;0;2;6;7;0;1;0;4;1;1;0;3;34;2;13
01.01.2023 02:45;19;22;1;1;4;0;0;1;0;5;1;3;0;4;41;2;4
01.01.2023 03:00;11;21;2;2;5;0;1;3;0;0;0;3;0;2;32;4;5
01.01.2023 03:15;8;20;1;1;7;2;0;0;0;0;2;2;1;1;28;2;9
01.01.2023 03:30;6;13;2;0;4;0;1;0;0;1;2;1;2;3;19;2;4
01.01.2023 03:45;9;12;1;0;0;3;0;0;0;1;2;1;0;4;21;1;3
01.01.2023 04:00;3;12;1;0;0;2;0;2;0;0;0;1;0;8;15;1;2
01.01.2023 04:15;3;7;0;0;4;0;0;0;0;0;1;3;1;0;10;0;4
01.01.2023 04:30;11;4;3;0;1;1;0;2;0;0;0;2;1;2;15;3;2
01.01.2023 04:45;5;9;0;0;0;0;0;0;0;2;0;1;0;2;14;0;0
01.01.2023 05:00;0;11;0;3;1;0;0;0;0;0;0;1;1;2;11;3;1
01.01.2023 05:15;5;10;2;0;0;3;0;2;0;0;4;1;0;0;15;2;3
