time,Kennedybruecke (Nord) Ri. Innenstadt,Kennedybruecke (Nord) Ri. Beuel,days
2018-01-01 00:00:00,0,0,2018-01-01
2018-01-01 00:15:00,0,0,2018-01-01
2018-01-01 00:30:00,2,3,2018-01-01
2018-01-01 00:45:00,7,5,2018-01-01
2018-01-01 01:00:00,3,4,2018-01-01
2018-01-01 01:15:00,9,1,2018-01-01
2018-01-01 01:30:00,0,0,2018-01-01
2018-01-01 01:45:00,1,0,2018-01-01
2018-01-01 02:00:00,8,1,2018-01-01
2018-01-01 02:15:00,2,5,2018-01-01
2018-01-01 02:30:00,12,10,2018-01-01
2018-01-01 02:45:00,12,5,2018-01-01
2018-01-01 03:00:00,9,5,2018-01-01
2018-01-01 03:15:00,4,1,2018-01-01
2018-01-01 03:30:00,2,3,2018-01-01
2018-01-01 03:45:00,4,0,2018-01-01
2018-01-01 04:00:00,1,0,2018-01-01
2018-01-01 04:15:00,2,2,2018-01-01
2018-01-01 04:30:00,5,2,2018-01-01
2018-01-01 04:45:00,2,0,2018-01-01
2018-01-01 05:00:00,4,0,2018-01-01
2018-01-01 05:15:00,2,2,2018-01-01
2018-01-01 05:30:00,2,0,2018-01-01
2018-01-01 05:45:00,1,0,2018-01-01
2018-01-01 06:00:00,0,1,2018-01-01
2018-01-01 06:15:00,1,0,2018-01-01
2018-01-01 06:30:00,2,0,2018-01-01
2018-01-01 06:45:00,0,1,2018-01-01
2018-01-01 07:00:00,0,1,2018-01-01
2018-01-01 07:15:00,2,1,2018-01-01
2018-01-01 07:30:00,1,0,2018-01-01
2018-01-01 07:45:00,1,0,2018-01-01
2018-01-01 08:00:00,1,0,2018-01-01
2018-01-01 08:15:00,1,0,2018-01-01
2018-01-01 08:30:00,2,0,2018-01-01
2018-01-01 08:45:00,2,0,2018-01-01
2018-01-01 09:00:00,2,1,2018-01-01
2018-01-01 09:15:00,0,0,2018-01-01
2018-01-01 09:30:00,2,0,2018-01-01
2018-01-01 09:45:00,3,1,2018-01-01
2018-01-01 10:00:00,4,0,2018-01-01
2018-01-01 10:15:00,0,2,2018-01-01
2018-01-01 10:30:00,5,3,2018-01-01
2018-01-01 10:45:00,4,1,2018-01-01
2018-01-01 11:00:00,0,1,2018-01-01
2018-01-01 11:15:00,1,0,2018-01-01
2018-01-01 11:30:00,4,0,2018-01-01
2018-01-01 11:45:00,15,4,2018-01-01
2018-01-01 12:00:00,8,2,2018-01-01
2018-01-01 12:15:00,3,0,2018-01-01
2018-01-01 12:30:00,11,5,2018-01-01
2018-01-01 12:45:00,9,0,2018-01-01
2018-01-01 13:00:00,8,4,2018-01-01
2018-01-01 13:15:00,14,3,2018-01-01
2018-01-01 13:30:00,13,5,2018-01-01
2018-01-01 13:45:00,15,3,2018-01-01
2018-01-01 14:00:00,10,10,2018-01-01
2018-01-01 14:15:00,7,3,2018-01-01
2018-01-01 14:30:00,14,5,2018-01-01
2018-01-01 14:45:00,17,7,2018-01-01
2018-01-01 15:00:00,8,8,2018-01-01
2018-01-01 15:15:00,17,6,2018-01-01
2018-01-01 15:30:00,8,1,2018-01-01
2018-01-01 15:45:00,8,4,2018-01-01
2018-01-01 16:00:00,33,3,2018-01-01
2018-01-01 16:15:00,9,2,2018-01-01
2018-01-01 16:30:00,4,1,2018-01-01
2018-01-01 16:45:00,6,3,2018-01-01
2018-01-01 17:00:00,3,2,2018-01-01
2018-01-01 17:15:00,6,2,2018-01-01
2018-01-01 17:30:00,6,0,2018-01-01
2018-01-01 17:45:00,5,0,2018-01-01
2018-01-01 18:00:00,3,2,2018-01-01
2018-01-01 18:15:00,4,1,2018-01-01
2018-01-01 18:30:00,2,15,2018-01-01
2018-01-01 18:45:00,3,1,2018-01-01
