time,Rhenusallee,Rhenusallee Ri. Beuel,Rhenusallee Ri. Oberkassel,days
2018-01-01 00:00:00,0,0,0,2018-01-01
2018-01-01 00:15:00,0,0,0,2018-01-01
2018-01-01 00:30:00,2,2,0,2018-01-01
2018-01-01 00:45:00,5,1,4,2018-01-01
2018-01-01 01:00:00,1,0,1,2018-01-01
2018-01-01 01:15:00,0,0,0,2018-01-01
2018-01-01 01:30:00,2,2,0,2018-01-01
2018-01-01 01:45:00,0,0,0,2018-01-01
2018-01-01 02:00:00,1,0,1,2018-01-01
2018-01-01 02:15:00,1,1,0,2018-01-01
2018-01-01 02:30:00,4,0,4,2018-01-01
2018-01-01 02:45:00,2,1,1,2018-01-01
2018-01-01 03:00:00,1,0,1,2018-01-01
2018-01-01 03:15:00,0,0,0,2018-01-01
2018-01-01 03:30:00,3,2,1,2018-01-01
2018-01-01 03:45:00,0,0,0,2018-01-01
2018-01-01 04:00:00,2,1,1,2018-01-01
2018-01-01 04:15:00,0,0,0,2018-01-01
2018-01-01 04:30:00,2,2,0,2018-01-01
2018-01-01 04:45:00,0,0,0,2018-01-01
2018-01-01 05:00:00,0,0,0,2018-01-01
2018-01-01 05:15:00,0,0,0,2018-01-01
2018-01-01 05:30:00,0,0,0,2018-01-01
2018-01-01 05:45:00,0,0,0,2018-01-01
2018-01-01 06:00:00,0,0,0,2018-01-01
2018-01-01 06:15:00,2,1,1,2018-01-01
2018-01-01 06:30:00,1,0,1,2018-01-01
2018-01-01 06:45:00,0,0,0,2018-01-01
2018-01-01 07:00:00,1,1,0,2018-01-01
2018-01-01 07:15:00,0,0,0,2018-01-01
2018-01-01 07:30:00,1,0,1,2018-01-01
2018-01-01 07:45:00,0,0,0,2018-01-01
2018-01-01 08:00:00,0,0,0,2018-01-01
2018-01-01 08:15:00,3,3,0,2018-01-01
2018-01-01 08:30:00,0,0,0,2018-01-01
2018-01-01 08:45:00,1,0,1,2018-01-01
2018-01-01 09:00:00,1,0,1,2018-01-01
2018-01-01 09:15:00,3,1,2,2018-01-01
2018-01-01 09:30:00,4,2,2,2018-01-01
2018-01-01 09:45:00,10,6,4,2018-01-01
2018-01-01 10:00:00,1,0,1,2018-01-01
2018-01-01 10:15:00,4,2,2,2018-01-01
2018-01-01 10:30:00,8,3,5,2018-01-01
2018-01-01 10:45:00,4,1,3,2018-01-01
2018-01-01 11:00:00,7,1,6,2018-01-01
2018-01-01 11:15:00,10,6,4,2018-01-01
2018-01-01 11:30:00,19,7,12,2018-01-01
2018-01-01 11:45:00,23,11,12,2018-01-01
2018-01-01 12:00:00,23,11,12,2018-01-01
2018-01-01 12:15:00,34,18,16,2018-01-01
2018-01-01 12:30:00,35,16,19,2018-01-01
2018-01-01 12:45:00,38,19,19,2018-01-01
2018-01-01 13:00:00,43,24,19,2018-01-01
2018-01-01 13:15:00,35,12,23,2018-01-01
2018-01-01 13:30:00,24,14,10,2018-01-01
2018-01-01 13:45:00,34,19,15,2018-01-01
2018-01-01 14:00:00,31,14,17,2018-01-01
2018-01-01 14:15:00,34,26,8,2018-01-01
2018-01-01 14:30:00,21,11,10,2018-01-01
2018-01-01 14:45:00,21,9,12,2018-01-01
2018-01-01 15:00:00,26,16,10,2018-01-01
2018-01-01 15:15:00,21,12,9,2018-01-01
2018-01-01 15:30:00,9,8,1,2018-01-01
2018-01-01 15:45:00,10,10,0,2018-01-01
2018-01-01 16:00:00,23,10,13,2018-01-01
2018-01-01 16:15:00,12,6,6,2018-01-01
2018-01-01 16:30:00,6,3,3,2018-01-01
2018-01-01 16:45:00,4,2,2,2018-01-01
2018-01-01 17:00:00,4,4,0,2018-01-01
2018-01-01 17:15:00,2,2,0,2018-01-01
2018-01-01 17:30:00,4,1,3,2018-01-01
2018-01-01 17:45:00,2,0,2,2018-01-01
2018-01-01 18:00:00,1,1,0,2018-01-01
2018-01-01 18:15:00,0,0,0,2018-01-01
2018-01-01 18:30:00,2,1,1,2018-01-01
2018-01-01 18:45:00,0,0,0,2018-01-01
2018-01-01 19:00:00,5,4,1,2018-01-01
2018-01-01 19:15:00,2,1,1,2018-01-01
2018-01-01 19:30:00,0,0,0,2018-01-01
2018-01-01 19:45:00,1,0,1,2018-01-01
2018-01-01 20:00:00,0,0,0,2018-01-01
2018-01-01 20:15:00,1,1,0,2018-01-01
2018-01-01 20:30:00,2,1,1,2018-01-01
2018-01-01 20:45:00,1,1,0,2018-01-01
2018-01-01 21:00:00,0,0,0,2018-01-01
