,time,5.01 BN - Kennedybrücke (Nordseite),5.02 BN - Kennedybrücke (Südseite) Barometer,5.03 BN - Nordbrücke (Südseite),5.04 BN - Nordbrücke (Nordseite),5.05 BN - Südbrücke (Südseite),5.06 BN - Südbrücke (Nordseite),5.07 BN - Estermannufer,5.08 BN - Von-Sandt-Ufer,5.09 BN - Rhenusallee,5.10 BN - Bröhltalweg,5.11 BN - Brühler Straße,5.13 BN - Wilhelm-Spiritus-Ufer,5.14 BN - Mc Cloy Weg,5.15 BN - Weg auf Damm Neil,Kennedybrücke,Nordbrücke,Südbrücke,days
0,2023-01-01 00:00:00,5.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.0,2023-01-01
1,2023-01-01 00:15:00,2.0,6.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,6.0,2023-01-01
2,2023-01-01 00:30:00,12.0,5.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0,1.0,4.0,2023-01-01
3,2023-01-01 00:45:00,7.0,13.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,3.0,20.0,1.0,7.0,2023-01-01
4,2023-01-01 01:00:00,5.0,13.0,6.0,2.0,6.0,2.0,0.0,1.0,0.0,4.0,5.0,10.0,1.0,4.0,18.0,8.0,8.0,2023-01-01
5,2023-01-01 01:15:00,12.0,29.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,41.0,0.0,4.0,2023-01-01
6,2023-01-01 01:30:00,9.0,19.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,3.0,28.0,1.0,9.0,2023-01-01
7,2023-01-01 01:45:00,20.0,27.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,5.0,4.0,1.0,2.0,47.0,4.0,4.0,2023-01-01
8,2023-01-01 02:00:00,24.0,21.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,4.0,45.0,2.0,4.0,2023-01-01
9,2023-01-01 02:15:00,7.0,16.0,3.0,5.0,1.0,5.0,2.0,1.0,0.0,5.0,0.0,3.0,1.0,2.0,23.0,8.0,6.0,2023-01-01
10,2023-01-01 02:30:00,13.0,21.0,0.0,2.0,6.0,7.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,3.0,34.0,2.0,13.0,2023-01-01
11,2023-01-01 02:45:00,19.0,22.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,4.0,41.0,2.0,4.0,2023-01-01
12,2023-01-01 03:00:00,11.0,21.0,2.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,32.0,4.0,5.0,2023-01-01
13,2023-01-01 03:15:00,8.0,20.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,28.0,2.0,9.0,2023-01-01
14,2023-01-01 03:30:00,6.0,13.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,19.0,2.0,4.0,2023-01-01
15,2023-01-01 03:45:00,9.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,21.0,1.0,3.0,2023-01-01
16,2023-01-01 04:00:00,3.0,12.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,15.0,1.0,2.0,2023-01-01
17,2023-01-01 04:15:00,3.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,10.0,0.0,4.0,2023-01-01
18,2023-01-01 04:30:00,11.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,15.0,3.0,2.0,2023-01-01
19,2023-01-01 04:45:00,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,14.0,0.0,0.0,2023-01-01
20,2023-01-01 05:00:00,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,3.0,1.0,2023-01-01
21,2023-01-01 05:15:00,5.0,10.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,15.0,2.0,3.0,2023-01-01
22,2023-01-01 05:30:00,8.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,12.0,0.0,1.0,2023-01-01
23,2023-01-01 05:45:00,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,2023-01-01
24,2023-01-01 06:00:00,9.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,2023-01-01
25,2023-01-01 06:15:00,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,2023-01-01
26,2023-01-01 06:30:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2023-01-01
27,2023-01-01 06:45:00,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6.0,1.0,2.0,2023-01-01
28,2023-01-01 07:00:00,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2023-01-01
29,2023-01-01 07:15:00,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2023-01-01
30,2023-01-01 07:30:00,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,2023-01-01
31,2023-01-01 07:45:00,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2023-01-01
32,2023-01-01 08:00:00,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,8.0,1.0,0.0,2023-01-01
